Run,Augment Loss Mult,Augment Phase Step,Noise Start Phase Step,Noise Strength
12139426,60,20000,20000,0.3
12139458,60,20000,0,0.2
12139447,40,20000,0,0.3
12139449,40,20000,20000,0.2
12139434,20,20000,0,0.2
12139435,20,20000,0,0.3
12139440,40,0,0,0.2
12139461,60,20000,20000,0.2
12139460,60,20000,20000,0.1
12139459,60,20000,0,0.3
12139457,60,20000,0,0.1
12139456,60,0,20000,0.3
12139446,40,20000,0,0.2
12139445,40,20000,0,0.1
12139444,40,0,20000,0.3
12139451,60,0,0,0.1
12139450,40,20000,20000,0.3
12139448,40,20000,20000,0.1
12139455,60,0,20000,0.2
12139454,60,0,20000,0.1
12139453,60,0,0,0.3
12139452,60,0,0,0.2
12139443,40,0,20000,0.2
12139441,40,0,0,0.3
12139442,40,0,20000,0.1
12139430,20,0,20000,0.1
12139437,20,20000,20000,0.2
12139439,40,0,0,0.1
12139438,20,20000,20000,0.3
12139436,20,20000,20000,0.1
12139433,20,20000,0,0.1
12139431,20,0,20000,0.2
12139429,20,0,0,0.3
12139428,20,0,0,0.2
12139427,20,0,0,0.1
12139432,20,0,20000,0.3
