"Step","12139481_240930_010246S30_UN128_CN128 - val_psnr","12139481_240930_010246S30_UN128_CN128 - val_psnr__MIN","12139481_240930_010246S30_UN128_CN128 - val_psnr__MAX","12139557_240930_010100S20_UN128_CN128 - val_psnr","12139557_240930_010100S20_UN128_CN128 - val_psnr__MIN","12139557_240930_010100S20_UN128_CN128 - val_psnr__MAX","12139552_240930_004322S10_UN128_CN128 - val_psnr","12139552_240930_004322S10_UN128_CN128 - val_psnr__MIN","12139552_240930_004322S10_UN128_CN128 - val_psnr__MAX","12139539_240930_001813S30_UN128_CN128 - val_psnr","12139539_240930_001813S30_UN128_CN128 - val_psnr__MIN","12139539_240930_001813S30_UN128_CN128 - val_psnr__MAX","12139537_240930_001549S10_UN128_CN128 - val_psnr","12139537_240930_001549S10_UN128_CN128 - val_psnr__MIN","12139537_240930_001549S10_UN128_CN128 - val_psnr__MAX","12139531_240929_235839S30_UN128_CN128 - val_psnr","12139531_240929_235839S30_UN128_CN128 - val_psnr__MIN","12139531_240929_235839S30_UN128_CN128 - val_psnr__MAX","12139530_240929_235839S20_UN128_CN128 - val_psnr","12139530_240929_235839S20_UN128_CN128 - val_psnr__MIN","12139530_240929_235839S20_UN128_CN128 - val_psnr__MAX","12139529_240929_235239S10_UN128_CN128 - val_psnr","12139529_240929_235239S10_UN128_CN128 - val_psnr__MIN","12139529_240929_235239S10_UN128_CN128 - val_psnr__MAX","12139523_240929_232850S30_UN128_CN128 - val_psnr","12139523_240929_232850S30_UN128_CN128 - val_psnr__MIN","12139523_240929_232850S30_UN128_CN128 - val_psnr__MAX","12139522_240929_232403S20_UN128_CN128 - val_psnr","12139522_240929_232403S20_UN128_CN128 - val_psnr__MIN","12139522_240929_232403S20_UN128_CN128 - val_psnr__MAX","12139521_240929_232338S10_UN128_CN128 - val_psnr","12139521_240929_232338S10_UN128_CN128 - val_psnr__MIN","12139521_240929_232338S10_UN128_CN128 - val_psnr__MAX","12139517_240929_232222S30_UN128_CN128 - val_psnr","12139517_240929_232222S30_UN128_CN128 - val_psnr__MIN","12139517_240929_232222S30_UN128_CN128 - val_psnr__MAX","12139516_240929_232149S20_UN128_CN128 - val_psnr","12139516_240929_232149S20_UN128_CN128 - val_psnr__MIN","12139516_240929_232149S20_UN128_CN128 - val_psnr__MAX","12139515_240929_232133S10_UN128_CN128 - val_psnr","12139515_240929_232133S10_UN128_CN128 - val_psnr__MIN","12139515_240929_232133S10_UN128_CN128 - val_psnr__MAX","12139491_240929_231730S10_UN128 - val_psnr","12139491_240929_231730S10_UN128 - val_psnr__MIN","12139491_240929_231730S10_UN128 - val_psnr__MAX","12139492_240929_231730S20_UN128 - val_psnr","12139492_240929_231730S20_UN128 - val_psnr__MIN","12139492_240929_231730S20_UN128 - val_psnr__MAX","12139487_240929_231736S30_UN128 - val_psnr","12139487_240929_231736S30_UN128 - val_psnr__MIN","12139487_240929_231736S30_UN128 - val_psnr__MAX","12139485_240929_231732S10_UN128 - val_psnr","12139485_240929_231732S10_UN128 - val_psnr__MIN","12139485_240929_231732S10_UN128 - val_psnr__MAX","12139497_240929_231734S10_UN128 - val_psnr","12139497_240929_231734S10_UN128 - val_psnr__MIN","12139497_240929_231734S10_UN128 - val_psnr__MAX","12139498_240929_231734S20_UN128 - val_psnr","12139498_240929_231734S20_UN128 - val_psnr__MIN","12139498_240929_231734S20_UN128 - val_psnr__MAX","12139486_240929_231732S20_UN128 - val_psnr","12139486_240929_231732S20_UN128 - val_psnr__MIN","12139486_240929_231732S20_UN128 - val_psnr__MAX","12139499_240929_231732S30_UN128 - val_psnr","12139499_240929_231732S30_UN128 - val_psnr__MIN","12139499_240929_231732S30_UN128 - val_psnr__MAX","12139504_240929_231707S20_UN128 - val_psnr","12139504_240929_231707S20_UN128 - val_psnr__MIN","12139504_240929_231707S20_UN128 - val_psnr__MAX","12139505_240929_231707S30_UN128 - val_psnr","12139505_240929_231707S30_UN128 - val_psnr__MIN","12139505_240929_231707S30_UN128 - val_psnr__MAX","12139503_240929_231707S10_UN128 - val_psnr","12139503_240929_231707S10_UN128 - val_psnr__MIN","12139503_240929_231707S10_UN128 - val_psnr__MAX","12139510_240929_231705S20_UN128 - val_psnr","12139510_240929_231705S20_UN128 - val_psnr__MIN","12139510_240929_231705S20_UN128 - val_psnr__MAX","12139509_240929_231705S10_UN128 - val_psnr","12139509_240929_231705S10_UN128 - val_psnr__MIN","12139509_240929_231705S10_UN128 - val_psnr__MAX","12139511_240929_231657S30_UN128 - val_psnr","12139511_240929_231657S30_UN128 - val_psnr__MIN","12139511_240929_231657S30_UN128 - val_psnr__MAX"
"80","20.93704605102539","20.93704605102539","20.93704605102539","21.841136932373047","21.841136932373047","21.841136932373047","23.32840347290039","23.32840347290039","23.32840347290039","22.321697235107422","22.321697235107422","22.321697235107422","24.37603187561035","24.37603187561035","24.37603187561035","22.52511215209961","22.52511215209961","22.52511215209961","23.739822387695312","23.739822387695312","23.739822387695312","25.534448623657227","25.534448623657227","25.534448623657227","20.558500289916992","20.558500289916992","20.558500289916992","21.468265533447266","21.468265533447266","21.468265533447266","22.947738647460938","22.947738647460938","22.947738647460938","21.095096588134766","21.095096588134766","21.095096588134766","22.049057006835938","22.049057006835938","22.049057006835938","23.44083595275879","23.44083595275879","23.44083595275879","22.899749755859375","22.899749755859375","22.899749755859375","21.37518882751465","21.37518882751465","21.37518882751465","21.050487518310547","21.050487518310547","21.050487518310547","23.44676971435547","23.44676971435547","23.44676971435547","25.497066497802734","25.497066497802734","25.497066497802734","23.62093162536621","23.62093162536621","23.62093162536621","22.04204750061035","22.04204750061035","22.04204750061035","22.357257843017578","22.357257843017578","22.357257843017578","23.0213680267334","23.0213680267334","23.0213680267334","22.319454193115234","22.319454193115234","22.319454193115234","24.339773178100586","24.339773178100586","24.339773178100586","21.782455444335938","21.782455444335938","21.782455444335938","23.30282211303711","23.30282211303711","23.30282211303711","20.811229705810547","20.811229705810547","20.811229705810547"
"160","21.28732681274414","21.28732681274414","21.28732681274414","22.16321563720703","22.16321563720703","22.16321563720703","23.4904842376709","23.4904842376709","23.4904842376709","22.547672271728516","22.547672271728516","22.547672271728516","24.527050018310547","24.527050018310547","24.527050018310547","22.70840835571289","22.70840835571289","22.70840835571289","23.961681365966797","23.961681365966797","23.961681365966797","25.699771881103516","25.699771881103516","25.699771881103516","20.596202850341797","20.596202850341797","20.596202850341797","21.647022247314453","21.647022247314453","21.647022247314453","23.12649917602539","23.12649917602539","23.12649917602539","21.33196258544922","21.33196258544922","21.33196258544922","22.253116607666016","22.253116607666016","22.253116607666016","23.578126907348633","23.578126907348633","23.578126907348633","23.039342880249023","23.039342880249023","23.039342880249023","21.54571533203125","21.54571533203125","21.54571533203125","21.18026351928711","21.18026351928711","21.18026351928711","23.537601470947266","23.537601470947266","23.537601470947266","25.608184814453125","25.608184814453125","25.608184814453125","23.79246711730957","23.79246711730957","23.79246711730957","22.16588020324707","22.16588020324707","22.16588020324707","22.55801010131836","22.55801010131836","22.55801010131836","23.255830764770508","23.255830764770508","23.255830764770508","22.428775787353516","22.428775787353516","22.428775787353516","24.42770767211914","24.42770767211914","24.42770767211914","22.03373146057129","22.03373146057129","22.03373146057129","23.412052154541016","23.412052154541016","23.412052154541016","21.027606964111328","21.027606964111328","21.027606964111328"
"240","21.447383880615234","21.447383880615234","21.447383880615234","22.272876739501953","22.272876739501953","22.272876739501953","23.55031967163086","23.55031967163086","23.55031967163086","22.5770320892334","22.5770320892334","22.5770320892334","24.581947326660156","24.581947326660156","24.581947326660156","23.055076599121094","23.055076599121094","23.055076599121094","24.167654037475586","24.167654037475586","24.167654037475586","25.745647430419922","25.745647430419922","25.745647430419922","20.921802520751953","20.921802520751953","20.921802520751953","21.8957576751709","21.8957576751709","21.8957576751709","23.10719108581543","23.10719108581543","23.10719108581543","21.542957305908203","21.542957305908203","21.542957305908203","22.443124771118164","22.443124771118164","22.443124771118164","23.70212745666504","23.70212745666504","23.70212745666504","23.070877075195312","23.070877075195312","23.070877075195312","21.68037223815918","21.68037223815918","21.68037223815918","21.375268936157227","21.375268936157227","21.375268936157227","23.629417419433594","23.629417419433594","23.629417419433594","25.597152709960938","25.597152709960938","25.597152709960938","23.981407165527344","23.981407165527344","23.981407165527344","22.279817581176758","22.279817581176758","22.279817581176758","22.799457550048828","22.799457550048828","22.799457550048828","23.293109893798828","23.293109893798828","23.293109893798828","22.440746307373047","22.440746307373047","22.440746307373047","24.47170639038086","24.47170639038086","24.47170639038086","22.10858726501465","22.10858726501465","22.10858726501465","23.463165283203125","23.463165283203125","23.463165283203125","21.16396141052246","21.16396141052246","21.16396141052246"
"320","21.58949851989746","21.58949851989746","21.58949851989746","22.502199172973633","22.502199172973633","22.502199172973633","23.652416229248047","23.652416229248047","23.652416229248047","22.70248031616211","22.70248031616211","22.70248031616211","24.642017364501953","24.642017364501953","24.642017364501953","23.18253517150879","23.18253517150879","23.18253517150879","24.254743576049805","24.254743576049805","24.254743576049805","25.901199340820312","25.901199340820312","25.901199340820312","20.907550811767578","20.907550811767578","20.907550811767578","21.974435806274414","21.974435806274414","21.974435806274414","23.24774742126465","23.24774742126465","23.24774742126465","21.650236129760742","21.650236129760742","21.650236129760742","22.515300750732422","22.515300750732422","22.515300750732422","23.737144470214844","23.737144470214844","23.737144470214844","23.166990280151367","23.166990280151367","23.166990280151367","21.820716857910156","21.820716857910156","21.820716857910156","21.41597557067871","21.41597557067871","21.41597557067871","23.628942489624023","23.628942489624023","23.628942489624023","25.7061824798584","25.7061824798584","25.7061824798584","23.9910888671875","23.9910888671875","23.9910888671875","22.396350860595703","22.396350860595703","22.396350860595703","22.967912673950195","22.967912673950195","22.967912673950195","23.447216033935547","23.447216033935547","23.447216033935547","22.596975326538086","22.596975326538086","22.596975326538086","24.541860580444336","24.541860580444336","24.541860580444336","22.235872268676758","22.235872268676758","22.235872268676758","23.547840118408203","23.547840118408203","23.547840118408203","21.294218063354492","21.294218063354492","21.294218063354492"
"400","21.724576950073242","21.724576950073242","21.724576950073242","22.566801071166992","22.566801071166992","22.566801071166992","23.650121688842773","23.650121688842773","23.650121688842773","22.84526824951172","22.84526824951172","22.84526824951172","24.70391082763672","24.70391082763672","24.70391082763672","23.27260971069336","23.27260971069336","23.27260971069336","24.494911193847656","24.494911193847656","24.494911193847656","25.93670082092285","25.93670082092285","25.93670082092285","21.117595672607422","21.117595672607422","21.117595672607422","22.02903938293457","22.02903938293457","22.02903938293457","23.242511749267578","23.242511749267578","23.242511749267578","21.83089256286621","21.83089256286621","21.83089256286621","22.631549835205078","22.631549835205078","22.631549835205078","23.789783477783203","23.789783477783203","23.789783477783203","23.253719329833984","23.253719329833984","23.253719329833984","21.849294662475586","21.849294662475586","21.849294662475586","21.60312271118164","21.60312271118164","21.60312271118164","23.711816787719727","23.711816787719727","23.711816787719727","25.772258758544922","25.772258758544922","25.772258758544922","24.174524307250977","24.174524307250977","24.174524307250977","22.473094940185547","22.473094940185547","22.473094940185547","23.078805923461914","23.078805923461914","23.078805923461914","23.47199058532715","23.47199058532715","23.47199058532715","22.635513305664062","22.635513305664062","22.635513305664062","24.563018798828125","24.563018798828125","24.563018798828125","22.34030532836914","22.34030532836914","22.34030532836914","23.591754913330078","23.591754913330078","23.591754913330078","21.445087432861328","21.445087432861328","21.445087432861328"
"480","21.936683654785156","21.936683654785156","21.936683654785156","22.710575103759766","22.710575103759766","22.710575103759766","23.79355239868164","23.79355239868164","23.79355239868164","23.00748062133789","23.00748062133789","23.00748062133789","24.74541473388672","24.74541473388672","24.74541473388672","23.506025314331055","23.506025314331055","23.506025314331055","24.582927703857422","24.582927703857422","24.582927703857422","26.027923583984375","26.027923583984375","26.027923583984375","21.27894401550293","21.27894401550293","21.27894401550293","22.12838363647461","22.12838363647461","22.12838363647461","23.312652587890625","23.312652587890625","23.312652587890625","21.87240982055664","21.87240982055664","21.87240982055664","22.703561782836914","22.703561782836914","22.703561782836914","23.915613174438477","23.915613174438477","23.915613174438477","23.254545211791992","23.254545211791992","23.254545211791992","21.97865104675293","21.97865104675293","21.97865104675293","21.664661407470703","21.664661407470703","21.664661407470703","23.764663696289062","23.764663696289062","23.764663696289062","25.815149307250977","25.815149307250977","25.815149307250977","24.308595657348633","24.308595657348633","24.308595657348633","22.54543685913086","22.54543685913086","22.54543685913086","23.194660186767578","23.194660186767578","23.194660186767578","23.599956512451172","23.599956512451172","23.599956512451172","22.696086883544922","22.696086883544922","22.696086883544922","24.624479293823242","24.624479293823242","24.624479293823242","22.45743751525879","22.45743751525879","22.45743751525879","23.667768478393555","23.667768478393555","23.667768478393555","21.551774978637695","21.551774978637695","21.551774978637695"
"560","22.065731048583984","22.065731048583984","22.065731048583984","22.867183685302734","22.867183685302734","22.867183685302734","23.842145919799805","23.842145919799805","23.842145919799805","23.137832641601562","23.137832641601562","23.137832641601562","24.802745819091797","24.802745819091797","24.802745819091797","23.692649841308594","23.692649841308594","23.692649841308594","24.675979614257812","24.675979614257812","24.675979614257812","26.190881729125977","26.190881729125977","26.190881729125977","21.37982177734375","21.37982177734375","21.37982177734375","22.200407028198242","22.200407028198242","22.200407028198242","23.354507446289062","23.354507446289062","23.354507446289062","22.045578002929688","22.045578002929688","22.045578002929688","22.889318466186523","22.889318466186523","22.889318466186523","23.973352432250977","23.973352432250977","23.973352432250977","23.30103874206543","23.30103874206543","23.30103874206543","22.003955841064453","22.003955841064453","22.003955841064453","21.912639617919922","21.912639617919922","21.912639617919922","23.827625274658203","23.827625274658203","23.827625274658203","25.937946319580078","25.937946319580078","25.937946319580078","24.365982055664062","24.365982055664062","24.365982055664062","22.65220832824707","22.65220832824707","22.65220832824707","23.401508331298828","23.401508331298828","23.401508331298828","23.574527740478516","23.574527740478516","23.574527740478516","22.890478134155273","22.890478134155273","22.890478134155273","24.67124366760254","24.67124366760254","24.67124366760254","22.56690216064453","22.56690216064453","22.56690216064453","23.728925704956055","23.728925704956055","23.728925704956055","21.75797462463379","21.75797462463379","21.75797462463379"
"640","22.211074829101562","22.211074829101562","22.211074829101562","22.953794479370117","22.953794479370117","22.953794479370117","23.850675582885742","23.850675582885742","23.850675582885742","23.16305923461914","23.16305923461914","23.16305923461914","24.863216400146484","24.863216400146484","24.863216400146484","23.792030334472656","23.792030334472656","23.792030334472656","24.755176544189453","24.755176544189453","24.755176544189453","26.194625854492188","26.194625854492188","26.194625854492188","21.413394927978516","21.413394927978516","21.413394927978516","22.346343994140625","22.346343994140625","22.346343994140625","23.414283752441406","23.414283752441406","23.414283752441406","22.112445831298828","22.112445831298828","22.112445831298828","22.913314819335938","22.913314819335938","22.913314819335938","24.034086227416992","24.034086227416992","24.034086227416992","23.33773422241211","23.33773422241211","23.33773422241211","22.147489547729492","22.147489547729492","22.147489547729492","21.883935928344727","21.883935928344727","21.883935928344727","23.87172508239746","23.87172508239746","23.87172508239746","25.97420883178711","25.97420883178711","25.97420883178711","24.291105270385742","24.291105270385742","24.291105270385742","22.762123107910156","22.762123107910156","22.762123107910156","23.51955223083496","23.51955223083496","23.51955223083496","23.688806533813477","23.688806533813477","23.688806533813477","22.877426147460938","22.877426147460938","22.877426147460938","24.699893951416016","24.699893951416016","24.699893951416016","22.72109603881836","22.72109603881836","22.72109603881836","23.759172439575195","23.759172439575195","23.759172439575195","21.834108352661133","21.834108352661133","21.834108352661133"
"720","22.207408905029297","22.207408905029297","22.207408905029297","22.967857360839844","22.967857360839844","22.967857360839844","23.9210147857666","23.9210147857666","23.9210147857666","23.163360595703125","23.163360595703125","23.163360595703125","24.887245178222656","24.887245178222656","24.887245178222656","23.739154815673828","23.739154815673828","23.739154815673828","24.862829208374023","24.862829208374023","24.862829208374023","26.226688385009766","26.226688385009766","26.226688385009766","21.52065658569336","21.52065658569336","21.52065658569336","22.417871475219727","22.417871475219727","22.417871475219727","23.48470687866211","23.48470687866211","23.48470687866211","22.154109954833984","22.154109954833984","22.154109954833984","22.890522003173828","22.890522003173828","22.890522003173828","24.070697784423828","24.070697784423828","24.070697784423828","23.40572738647461","23.40572738647461","23.40572738647461","22.22650909423828","22.22650909423828","22.22650909423828","21.983713150024414","21.983713150024414","21.983713150024414","23.943912506103516","23.943912506103516","23.943912506103516","25.98226547241211","25.98226547241211","25.98226547241211","24.49687957763672","24.49687957763672","24.49687957763672","22.809993743896484","22.809993743896484","22.809993743896484","23.465068817138672","23.465068817138672","23.465068817138672","23.703702926635742","23.703702926635742","23.703702926635742","22.89554214477539","22.89554214477539","22.89554214477539","24.72585678100586","24.72585678100586","24.72585678100586","22.746170043945312","22.746170043945312","22.746170043945312","23.794681549072266","23.794681549072266","23.794681549072266","21.92514419555664","21.92514419555664","21.92514419555664"
"800","22.433290481567383","22.433290481567383","22.433290481567383","23.05132484436035","23.05132484436035","23.05132484436035","23.940837860107422","23.940837860107422","23.940837860107422","23.32711410522461","23.32711410522461","23.32711410522461","24.964191436767578","24.964191436767578","24.964191436767578","23.84673309326172","23.84673309326172","23.84673309326172","25.066997528076172","25.066997528076172","25.066997528076172","26.33267593383789","26.33267593383789","26.33267593383789","21.619794845581055","21.619794845581055","21.619794845581055","22.534854888916016","22.534854888916016","22.534854888916016","23.528379440307617","23.528379440307617","23.528379440307617","22.368797302246094","22.368797302246094","22.368797302246094","23.00200653076172","23.00200653076172","23.00200653076172","24.14053726196289","24.14053726196289","24.14053726196289","23.433032989501953","23.433032989501953","23.433032989501953","22.291217803955078","22.291217803955078","22.291217803955078","22.201765060424805","22.201765060424805","22.201765060424805","23.991474151611328","23.991474151611328","23.991474151611328","26.10150146484375","26.10150146484375","26.10150146484375","24.605152130126953","24.605152130126953","24.605152130126953","22.836536407470703","22.836536407470703","22.836536407470703","23.606914520263672","23.606914520263672","23.606914520263672","23.87451934814453","23.87451934814453","23.87451934814453","23.09552574157715","23.09552574157715","23.09552574157715","24.772878646850586","24.772878646850586","24.772878646850586","22.805234909057617","22.805234909057617","22.805234909057617","23.831270217895508","23.831270217895508","23.831270217895508","22.083820343017578","22.083820343017578","22.083820343017578"
