"Step","12139481_240930_010246S30_UN128_CN128 - val_val_ref_psnr","12139481_240930_010246S30_UN128_CN128 - val_val_ref_psnr__MIN","12139481_240930_010246S30_UN128_CN128 - val_val_ref_psnr__MAX","12139557_240930_010100S20_UN128_CN128 - val_val_ref_psnr","12139557_240930_010100S20_UN128_CN128 - val_val_ref_psnr__MIN","12139557_240930_010100S20_UN128_CN128 - val_val_ref_psnr__MAX","12139552_240930_004322S10_UN128_CN128 - val_val_ref_psnr","12139552_240930_004322S10_UN128_CN128 - val_val_ref_psnr__MIN","12139552_240930_004322S10_UN128_CN128 - val_val_ref_psnr__MAX","12139539_240930_001813S30_UN128_CN128 - val_val_ref_psnr","12139539_240930_001813S30_UN128_CN128 - val_val_ref_psnr__MIN","12139539_240930_001813S30_UN128_CN128 - val_val_ref_psnr__MAX","12139537_240930_001549S10_UN128_CN128 - val_val_ref_psnr","12139537_240930_001549S10_UN128_CN128 - val_val_ref_psnr__MIN","12139537_240930_001549S10_UN128_CN128 - val_val_ref_psnr__MAX","12139531_240929_235839S30_UN128_CN128 - val_val_ref_psnr","12139531_240929_235839S30_UN128_CN128 - val_val_ref_psnr__MIN","12139531_240929_235839S30_UN128_CN128 - val_val_ref_psnr__MAX","12139530_240929_235839S20_UN128_CN128 - val_val_ref_psnr","12139530_240929_235839S20_UN128_CN128 - val_val_ref_psnr__MIN","12139530_240929_235839S20_UN128_CN128 - val_val_ref_psnr__MAX","12139529_240929_235239S10_UN128_CN128 - val_val_ref_psnr","12139529_240929_235239S10_UN128_CN128 - val_val_ref_psnr__MIN","12139529_240929_235239S10_UN128_CN128 - val_val_ref_psnr__MAX","12139523_240929_232850S30_UN128_CN128 - val_val_ref_psnr","12139523_240929_232850S30_UN128_CN128 - val_val_ref_psnr__MIN","12139523_240929_232850S30_UN128_CN128 - val_val_ref_psnr__MAX","12139522_240929_232403S20_UN128_CN128 - val_val_ref_psnr","12139522_240929_232403S20_UN128_CN128 - val_val_ref_psnr__MIN","12139522_240929_232403S20_UN128_CN128 - val_val_ref_psnr__MAX","12139521_240929_232338S10_UN128_CN128 - val_val_ref_psnr","12139521_240929_232338S10_UN128_CN128 - val_val_ref_psnr__MIN","12139521_240929_232338S10_UN128_CN128 - val_val_ref_psnr__MAX","12139517_240929_232222S30_UN128_CN128 - val_val_ref_psnr","12139517_240929_232222S30_UN128_CN128 - val_val_ref_psnr__MIN","12139517_240929_232222S30_UN128_CN128 - val_val_ref_psnr__MAX","12139516_240929_232149S20_UN128_CN128 - val_val_ref_psnr","12139516_240929_232149S20_UN128_CN128 - val_val_ref_psnr__MIN","12139516_240929_232149S20_UN128_CN128 - val_val_ref_psnr__MAX","12139515_240929_232133S10_UN128_CN128 - val_val_ref_psnr","12139515_240929_232133S10_UN128_CN128 - val_val_ref_psnr__MIN","12139515_240929_232133S10_UN128_CN128 - val_val_ref_psnr__MAX","12139491_240929_231730S10_UN128 - val_val_ref_psnr","12139491_240929_231730S10_UN128 - val_val_ref_psnr__MIN","12139491_240929_231730S10_UN128 - val_val_ref_psnr__MAX","12139492_240929_231730S20_UN128 - val_val_ref_psnr","12139492_240929_231730S20_UN128 - val_val_ref_psnr__MIN","12139492_240929_231730S20_UN128 - val_val_ref_psnr__MAX","12139487_240929_231736S30_UN128 - val_val_ref_psnr","12139487_240929_231736S30_UN128 - val_val_ref_psnr__MIN","12139487_240929_231736S30_UN128 - val_val_ref_psnr__MAX","12139485_240929_231732S10_UN128 - val_val_ref_psnr","12139485_240929_231732S10_UN128 - val_val_ref_psnr__MIN","12139485_240929_231732S10_UN128 - val_val_ref_psnr__MAX","12139497_240929_231734S10_UN128 - val_val_ref_psnr","12139497_240929_231734S10_UN128 - val_val_ref_psnr__MIN","12139497_240929_231734S10_UN128 - val_val_ref_psnr__MAX","12139498_240929_231734S20_UN128 - val_val_ref_psnr","12139498_240929_231734S20_UN128 - val_val_ref_psnr__MIN","12139498_240929_231734S20_UN128 - val_val_ref_psnr__MAX","12139486_240929_231732S20_UN128 - val_val_ref_psnr","12139486_240929_231732S20_UN128 - val_val_ref_psnr__MIN","12139486_240929_231732S20_UN128 - val_val_ref_psnr__MAX","12139499_240929_231732S30_UN128 - val_val_ref_psnr","12139499_240929_231732S30_UN128 - val_val_ref_psnr__MIN","12139499_240929_231732S30_UN128 - val_val_ref_psnr__MAX","12139504_240929_231707S20_UN128 - val_val_ref_psnr","12139504_240929_231707S20_UN128 - val_val_ref_psnr__MIN","12139504_240929_231707S20_UN128 - val_val_ref_psnr__MAX","12139505_240929_231707S30_UN128 - val_val_ref_psnr","12139505_240929_231707S30_UN128 - val_val_ref_psnr__MIN","12139505_240929_231707S30_UN128 - val_val_ref_psnr__MAX","12139503_240929_231707S10_UN128 - val_val_ref_psnr","12139503_240929_231707S10_UN128 - val_val_ref_psnr__MIN","12139503_240929_231707S10_UN128 - val_val_ref_psnr__MAX","12139510_240929_231705S20_UN128 - val_val_ref_psnr","12139510_240929_231705S20_UN128 - val_val_ref_psnr__MIN","12139510_240929_231705S20_UN128 - val_val_ref_psnr__MAX","12139509_240929_231705S10_UN128 - val_val_ref_psnr","12139509_240929_231705S10_UN128 - val_val_ref_psnr__MIN","12139509_240929_231705S10_UN128 - val_val_ref_psnr__MAX","12139511_240929_231657S30_UN128 - val_val_ref_psnr","12139511_240929_231657S30_UN128 - val_val_ref_psnr__MIN","12139511_240929_231657S30_UN128 - val_val_ref_psnr__MAX"
"80","18.149982452392578","18.149982452392578","18.149982452392578","18.10769271850586","18.10769271850586","18.10769271850586","18.25438690185547","18.25438690185547","18.25438690185547","20.120885848999023","20.120885848999023","20.120885848999023","20.282142639160156","20.282142639160156","20.282142639160156","18.254619598388672","18.254619598388672","18.254619598388672","18.234397888183594","18.234397888183594","18.234397888183594","18.229040145874023","18.229040145874023","18.229040145874023","16.88715362548828","16.88715362548828","16.88715362548828","17.05282211303711","17.05282211303711","17.05282211303711","17.011911392211914","17.011911392211914","17.011911392211914","20.49354362487793","20.49354362487793","20.49354362487793","20.469654083251953","20.469654083251953","20.469654083251953","20.457061767578125","20.457061767578125","20.457061767578125","16.989242553710938","16.989242553710938","16.989242553710938","17.071306228637695","17.071306228637695","17.071306228637695","20.5142879486084","20.5142879486084","20.5142879486084","20.46359634399414","20.46359634399414","20.46359634399414","18.205318450927734","18.205318450927734","18.205318450927734","18.17181968688965","18.17181968688965","18.17181968688965","20.489477157592773","20.489477157592773","20.489477157592773","18.163177490234375","18.163177490234375","18.163177490234375","20.133968353271484","20.133968353271484","20.133968353271484","20.042512893676758","20.042512893676758","20.042512893676758","20.249433517456055","20.249433517456055","20.249433517456055","18.15195083618164","18.15195083618164","18.15195083618164","18.274921417236328","18.274921417236328","18.274921417236328","18.08641242980957","18.08641242980957","18.08641242980957"
"160","18.282434463500977","18.282434463500977","18.282434463500977","18.294147491455078","18.294147491455078","18.294147491455078","18.21927261352539","18.21927261352539","18.21927261352539","20.18271255493164","20.18271255493164","20.18271255493164","20.271522521972656","20.271522521972656","20.271522521972656","18.349843978881836","18.349843978881836","18.349843978881836","18.288204193115234","18.288204193115234","18.288204193115234","18.212875366210938","18.212875366210938","18.212875366210938","17.0736026763916","17.0736026763916","17.0736026763916","16.96576499938965","16.96576499938965","16.96576499938965","17.016427993774414","17.016427993774414","17.016427993774414","20.40288734436035","20.40288734436035","20.40288734436035","20.47174644470215","20.47174644470215","20.47174644470215","20.519054412841797","20.519054412841797","20.519054412841797","17.005592346191406","17.005592346191406","17.005592346191406","16.99298667907715","16.99298667907715","16.99298667907715","20.318275451660156","20.318275451660156","20.318275451660156","20.50672149658203","20.50672149658203","20.50672149658203","18.188798904418945","18.188798904418945","18.188798904418945","18.223228454589844","18.223228454589844","18.223228454589844","20.49028205871582","20.49028205871582","20.49028205871582","18.294536590576172","18.294536590576172","18.294536590576172","20.352941513061523","20.352941513061523","20.352941513061523","20.05080795288086","20.05080795288086","20.05080795288086","20.236631393432617","20.236631393432617","20.236631393432617","18.3599910736084","18.3599910736084","18.3599910736084","18.238069534301758","18.238069534301758","18.238069534301758","18.299785614013672","18.299785614013672","18.299785614013672"
"240","17.944835662841797","17.944835662841797","17.944835662841797","18.197519302368164","18.197519302368164","18.197519302368164","18.28026580810547","18.28026580810547","18.28026580810547","20.328311920166016","20.328311920166016","20.328311920166016","20.296680450439453","20.296680450439453","20.296680450439453","18.3894100189209","18.3894100189209","18.3894100189209","18.37343406677246","18.37343406677246","18.37343406677246","18.226703643798828","18.226703643798828","18.226703643798828","16.958864212036133","16.958864212036133","16.958864212036133","17.036483764648438","17.036483764648438","17.036483764648438","17.012489318847656","17.012489318847656","17.012489318847656","20.148771286010742","20.148771286010742","20.148771286010742","20.395509719848633","20.395509719848633","20.395509719848633","20.488689422607422","20.488689422607422","20.488689422607422","17.004228591918945","17.004228591918945","17.004228591918945","17.0081844329834","17.0081844329834","17.0081844329834","20.152828216552734","20.152828216552734","20.152828216552734","20.48531723022461","20.48531723022461","20.48531723022461","18.179519653320312","18.179519653320312","18.179519653320312","18.26065444946289","18.26065444946289","18.26065444946289","20.37476921081543","20.37476921081543","20.37476921081543","18.329511642456055","18.329511642456055","18.329511642456055","20.365718841552734","20.365718841552734","20.365718841552734","20.218769073486328","20.218769073486328","20.218769073486328","20.293556213378906","20.293556213378906","20.293556213378906","18.247615814208984","18.247615814208984","18.247615814208984","18.293107986450195","18.293107986450195","18.293107986450195","17.97943115234375","17.97943115234375","17.97943115234375"
"320","17.817296981811523","17.817296981811523","17.817296981811523","18.279895782470703","18.279895782470703","18.279895782470703","18.233747482299805","18.233747482299805","18.233747482299805","20.535919189453125","20.535919189453125","20.535919189453125","20.287914276123047","20.287914276123047","20.287914276123047","18.404876708984375","18.404876708984375","18.404876708984375","18.5072021484375","18.5072021484375","18.5072021484375","18.249149322509766","18.249149322509766","18.249149322509766","16.97426414489746","16.97426414489746","16.97426414489746","17.013019561767578","17.013019561767578","17.013019561767578","16.9720401763916","16.9720401763916","16.9720401763916","20.451610565185547","20.451610565185547","20.451610565185547","20.417903900146484","20.417903900146484","20.417903900146484","20.45697784423828","20.45697784423828","20.45697784423828","16.958948135375977","16.958948135375977","16.958948135375977","17.02923583984375","17.02923583984375","17.02923583984375","20.39035415649414","20.39035415649414","20.39035415649414","20.456430435180664","20.456430435180664","20.456430435180664","18.188186645507812","18.188186645507812","18.188186645507812","18.35250473022461","18.35250473022461","18.35250473022461","20.46419906616211","20.46419906616211","20.46419906616211","18.357065200805664","18.357065200805664","18.357065200805664","20.354816436767578","20.354816436767578","20.354816436767578","20.37363052368164","20.37363052368164","20.37363052368164","20.24911880493164","20.24911880493164","20.24911880493164","18.295141220092773","18.295141220092773","18.295141220092773","18.264591217041016","18.264591217041016","18.264591217041016","17.923282623291016","17.923282623291016","17.923282623291016"
"400","18.055355072021484","18.055355072021484","18.055355072021484","18.11311912536621","18.11311912536621","18.11311912536621","18.26209259033203","18.26209259033203","18.26209259033203","20.664535522460938","20.664535522460938","20.664535522460938","20.301973342895508","20.301973342895508","20.301973342895508","18.252399444580078","18.252399444580078","18.252399444580078","18.486948013305664","18.486948013305664","18.486948013305664","18.352779388427734","18.352779388427734","18.352779388427734","16.87250328063965","16.87250328063965","16.87250328063965","17.16143798828125","17.16143798828125","17.16143798828125","17.026636123657227","17.026636123657227","17.026636123657227","20.49117088317871","20.49117088317871","20.49117088317871","20.431739807128906","20.431739807128906","20.431739807128906","20.52824592590332","20.52824592590332","20.52824592590332","17.013322830200195","17.013322830200195","17.013322830200195","17.144309997558594","17.144309997558594","17.144309997558594","20.44303321838379","20.44303321838379","20.44303321838379","20.54867935180664","20.54867935180664","20.54867935180664","18.28264808654785","18.28264808654785","18.28264808654785","18.387975692749023","18.387975692749023","18.387975692749023","20.43206024169922","20.43206024169922","20.43206024169922","18.322940826416016","18.322940826416016","18.322940826416016","20.283187866210938","20.283187866210938","20.283187866210938","20.49197006225586","20.49197006225586","20.49197006225586","20.273744583129883","20.273744583129883","20.273744583129883","18.17458724975586","18.17458724975586","18.17458724975586","18.28347396850586","18.28347396850586","18.28347396850586","18.051841735839844","18.051841735839844","18.051841735839844"
"480","18.15691375732422","18.15691375732422","18.15691375732422","18.134212493896484","18.134212493896484","18.134212493896484","18.20054054260254","18.20054054260254","18.20054054260254","20.516380310058594","20.516380310058594","20.516380310058594","20.270118713378906","20.270118713378906","20.270118713378906","18.561607360839844","18.561607360839844","18.561607360839844","18.514211654663086","18.514211654663086","18.514211654663086","18.3275089263916","18.3275089263916","18.3275089263916","16.941017150878906","16.941017150878906","16.941017150878906","17.129417419433594","17.129417419433594","17.129417419433594","17.025964736938477","17.025964736938477","17.025964736938477","20.515460968017578","20.515460968017578","20.515460968017578","20.56267547607422","20.56267547607422","20.56267547607422","20.516603469848633","20.516603469848633","20.516603469848633","17.019115447998047","17.019115447998047","17.019115447998047","17.136703491210938","17.136703491210938","17.136703491210938","20.485637664794922","20.485637664794922","20.485637664794922","20.52679443359375","20.52679443359375","20.52679443359375","18.27216339111328","18.27216339111328","18.27216339111328","18.38482666015625","18.38482666015625","18.38482666015625","20.57465934753418","20.57465934753418","20.57465934753418","18.495262145996094","18.495262145996094","18.495262145996094","20.408306121826172","20.408306121826172","20.408306121826172","20.361173629760742","20.361173629760742","20.361173629760742","20.258441925048828","20.258441925048828","20.258441925048828","18.191448211669922","18.191448211669922","18.191448211669922","18.243927001953125","18.243927001953125","18.243927001953125","18.14061164855957","18.14061164855957","18.14061164855957"
"560","17.870704650878906","17.870704650878906","17.870704650878906","18.21454429626465","18.21454429626465","18.21454429626465","18.170623779296875","18.170623779296875","18.170623779296875","20.514263153076172","20.514263153076172","20.514263153076172","20.318218231201172","20.318218231201172","20.318218231201172","18.642375946044922","18.642375946044922","18.642375946044922","18.48681640625","18.48681640625","18.48681640625","18.2720947265625","18.2720947265625","18.2720947265625","17.165836334228516","17.165836334228516","17.165836334228516","17.19154167175293","17.19154167175293","17.19154167175293","17.04119110107422","17.04119110107422","17.04119110107422","20.63167953491211","20.63167953491211","20.63167953491211","20.491975784301758","20.491975784301758","20.491975784301758","20.575359344482422","20.575359344482422","20.575359344482422","17.019840240478516","17.019840240478516","17.019840240478516","17.16596794128418","17.16596794128418","17.16596794128418","20.593677520751953","20.593677520751953","20.593677520751953","20.565961837768555","20.565961837768555","20.565961837768555","18.234485626220703","18.234485626220703","18.234485626220703","18.437885284423828","18.437885284423828","18.437885284423828","20.49702262878418","20.49702262878418","20.49702262878418","18.653188705444336","18.653188705444336","18.653188705444336","20.35304832458496","20.35304832458496","20.35304832458496","20.340652465820312","20.340652465820312","20.340652465820312","20.30982780456543","20.30982780456543","20.30982780456543","18.257652282714844","18.257652282714844","18.257652282714844","18.21417236328125","18.21417236328125","18.21417236328125","17.99945068359375","17.99945068359375","17.99945068359375"
"640","18.035245895385742","18.035245895385742","18.035245895385742","18.209049224853516","18.209049224853516","18.209049224853516","18.15274429321289","18.15274429321289","18.15274429321289","20.568017959594727","20.568017959594727","20.568017959594727","20.323917388916016","20.323917388916016","20.323917388916016","18.624353408813477","18.624353408813477","18.624353408813477","18.587581634521484","18.587581634521484","18.587581634521484","18.36174201965332","18.36174201965332","18.36174201965332","17.068532943725586","17.068532943725586","17.068532943725586","17.03217315673828","17.03217315673828","17.03217315673828","17.085580825805664","17.085580825805664","17.085580825805664","20.52542495727539","20.52542495727539","20.52542495727539","20.50967025756836","20.50967025756836","20.50967025756836","20.574438095092773","20.574438095092773","20.574438095092773","17.059795379638672","17.059795379638672","17.059795379638672","17.034881591796875","17.034881591796875","17.034881591796875","20.51248550415039","20.51248550415039","20.51248550415039","20.555477142333984","20.555477142333984","20.555477142333984","18.3206787109375","18.3206787109375","18.3206787109375","18.46293067932129","18.46293067932129","18.46293067932129","20.539329528808594","20.539329528808594","20.539329528808594","18.697586059570312","18.697586059570312","18.697586059570312","20.390169143676758","20.390169143676758","20.390169143676758","20.380693435668945","20.380693435668945","20.380693435668945","20.302391052246094","20.302391052246094","20.302391052246094","18.24954605102539","18.24954605102539","18.24954605102539","18.211061477661133","18.211061477661133","18.211061477661133","17.98356819152832","17.98356819152832","17.98356819152832"
"720","17.967872619628906","17.967872619628906","17.967872619628906","18.098434448242188","18.098434448242188","18.098434448242188","18.23792266845703","18.23792266845703","18.23792266845703","20.527528762817383","20.527528762817383","20.527528762817383","20.32737922668457","20.32737922668457","20.32737922668457","18.463102340698242","18.463102340698242","18.463102340698242","18.631643295288086","18.631643295288086","18.631643295288086","18.357959747314453","18.357959747314453","18.357959747314453","17.113025665283203","17.113025665283203","17.113025665283203","17.22866439819336","17.22866439819336","17.22866439819336","17.054458618164062","17.054458618164062","17.054458618164062","20.412845611572266","20.412845611572266","20.412845611572266","20.64504623413086","20.64504623413086","20.64504623413086","20.51563262939453","20.51563262939453","20.51563262939453","17.028684616088867","17.028684616088867","17.028684616088867","17.176664352416992","17.176664352416992","17.176664352416992","20.40816307067871","20.40816307067871","20.40816307067871","20.51251983642578","20.51251983642578","20.51251983642578","18.31967544555664","18.31967544555664","18.31967544555664","18.51480484008789","18.51480484008789","18.51480484008789","20.632431030273438","20.632431030273438","20.632431030273438","18.405656814575195","18.405656814575195","18.405656814575195","20.359148025512695","20.359148025512695","20.359148025512695","20.408889770507812","20.408889770507812","20.408889770507812","20.29660987854004","20.29660987854004","20.29660987854004","18.127910614013672","18.127910614013672","18.127910614013672","18.273983001708984","18.273983001708984","18.273983001708984","18.035154342651367","18.035154342651367","18.035154342651367"
"800","17.85342788696289","17.85342788696289","17.85342788696289","18.0871639251709","18.0871639251709","18.0871639251709","18.200685501098633","18.200685501098633","18.200685501098633","20.570858001708984","20.570858001708984","20.570858001708984","20.30903434753418","20.30903434753418","20.30903434753418","18.544893264770508","18.544893264770508","18.544893264770508","18.505939483642578","18.505939483642578","18.505939483642578","18.333757400512695","18.333757400512695","18.333757400512695","17.23866081237793","17.23866081237793","17.23866081237793","17.150619506835938","17.150619506835938","17.150619506835938","17.050209045410156","17.050209045410156","17.050209045410156","20.458898544311523","20.458898544311523","20.458898544311523","20.541894912719727","20.541894912719727","20.541894912719727","20.567855834960938","20.567855834960938","20.567855834960938","17.045434951782227","17.045434951782227","17.045434951782227","17.117393493652344","17.117393493652344","17.117393493652344","20.413572311401367","20.413572311401367","20.413572311401367","20.528188705444336","20.528188705444336","20.528188705444336","18.322233200073242","18.322233200073242","18.322233200073242","18.407026290893555","18.407026290893555","18.407026290893555","20.581451416015625","20.581451416015625","20.581451416015625","18.59442710876465","18.59442710876465","18.59442710876465","20.419048309326172","20.419048309326172","20.419048309326172","20.421607971191406","20.421607971191406","20.421607971191406","20.276058197021484","20.276058197021484","20.276058197021484","18.15618133544922","18.15618133544922","18.15618133544922","18.256412506103516","18.256412506103516","18.256412506103516","17.906532287597656","17.906532287597656","17.906532287597656"
