"Step","12139546_240930_003147S30_UN4_CN4 - val_lpips","12139546_240930_003147S30_UN4_CN4 - val_lpips__MIN","12139546_240930_003147S30_UN4_CN4 - val_lpips__MAX","12139541_240930_002145S20_UN4_CN4 - val_lpips","12139541_240930_002145S20_UN4_CN4 - val_lpips__MIN","12139541_240930_002145S20_UN4_CN4 - val_lpips__MAX","12139540_240930_001906S10_UN4_CN4 - val_lpips","12139540_240930_001906S10_UN4_CN4 - val_lpips__MIN","12139540_240930_001906S10_UN4_CN4 - val_lpips__MAX","12139536_240930_001525S30_UN4_CN4 - val_lpips","12139536_240930_001525S30_UN4_CN4 - val_lpips__MIN","12139536_240930_001525S30_UN4_CN4 - val_lpips__MAX","12139535_240930_000850S20_UN4_CN4 - val_lpips","12139535_240930_000850S20_UN4_CN4 - val_lpips__MIN","12139535_240930_000850S20_UN4_CN4 - val_lpips__MAX","12139532_240930_000449S10_UN4_CN4 - val_lpips","12139532_240930_000449S10_UN4_CN4 - val_lpips__MIN","12139532_240930_000449S10_UN4_CN4 - val_lpips__MAX","12139528_240929_235208S30_UN4_CN4 - val_lpips","12139528_240929_235208S30_UN4_CN4 - val_lpips__MIN","12139528_240929_235208S30_UN4_CN4 - val_lpips__MAX","12139525_240929_232947S20_UN4_CN4 - val_lpips","12139525_240929_232947S20_UN4_CN4 - val_lpips__MIN","12139525_240929_232947S20_UN4_CN4 - val_lpips__MAX","12139524_240929_232850S10_UN4_CN4 - val_lpips","12139524_240929_232850S10_UN4_CN4 - val_lpips__MIN","12139524_240929_232850S10_UN4_CN4 - val_lpips__MAX","12139520_240929_232302S30_UN4_CN4 - val_lpips","12139520_240929_232302S30_UN4_CN4 - val_lpips__MIN","12139520_240929_232302S30_UN4_CN4 - val_lpips__MAX","12139519_240929_232250S20_UN4_CN4 - val_lpips","12139519_240929_232250S20_UN4_CN4 - val_lpips__MIN","12139519_240929_232250S20_UN4_CN4 - val_lpips__MAX","12139518_240929_232231S10_UN4_CN4 - val_lpips","12139518_240929_232231S10_UN4_CN4 - val_lpips__MIN","12139518_240929_232231S10_UN4_CN4 - val_lpips__MAX","12139514_240929_232129S30_UN4_CN4 - val_lpips","12139514_240929_232129S30_UN4_CN4 - val_lpips__MIN","12139514_240929_232129S30_UN4_CN4 - val_lpips__MAX","12139512_240929_232056S10_UN4_CN4 - val_lpips","12139512_240929_232056S10_UN4_CN4 - val_lpips__MIN","12139512_240929_232056S10_UN4_CN4 - val_lpips__MAX","12139513_240929_232052S20_UN4_CN4 - val_lpips","12139513_240929_232052S20_UN4_CN4 - val_lpips__MIN","12139513_240929_232052S20_UN4_CN4 - val_lpips__MAX","12139488_240929_231736S10_UN4 - val_lpips","12139488_240929_231736S10_UN4 - val_lpips__MIN","12139488_240929_231736S10_UN4 - val_lpips__MAX","12139495_240929_231734S20_UN4 - val_lpips","12139495_240929_231734S20_UN4 - val_lpips__MIN","12139495_240929_231734S20_UN4 - val_lpips__MAX","12139501_240929_231732S20_UN4 - val_lpips","12139501_240929_231732S20_UN4 - val_lpips__MIN","12139501_240929_231732S20_UN4 - val_lpips__MAX","12139490_240929_231736S30_UN4 - val_lpips","12139490_240929_231736S30_UN4 - val_lpips__MIN","12139490_240929_231736S30_UN4 - val_lpips__MAX","12139502_240929_231732S30_UN4 - val_lpips","12139502_240929_231732S30_UN4 - val_lpips__MIN","12139502_240929_231732S30_UN4 - val_lpips__MAX","12139500_240929_231732S10_UN4 - val_lpips","12139500_240929_231732S10_UN4 - val_lpips__MIN","12139500_240929_231732S10_UN4 - val_lpips__MAX","12139489_240929_231736S20_UN4 - val_lpips","12139489_240929_231736S20_UN4 - val_lpips__MIN","12139489_240929_231736S20_UN4 - val_lpips__MAX","12139496_240929_231736S30_UN4 - val_lpips","12139496_240929_231736S30_UN4 - val_lpips__MIN","12139496_240929_231736S30_UN4 - val_lpips__MAX","12139483_240929_231732S20_UN4 - val_lpips","12139483_240929_231732S20_UN4 - val_lpips__MIN","12139483_240929_231732S20_UN4 - val_lpips__MAX","12139484_240929_231732S30_UN4 - val_lpips","12139484_240929_231732S30_UN4 - val_lpips__MIN","12139484_240929_231732S30_UN4 - val_lpips__MAX","12139494_240929_231730S10_UN4 - val_lpips","12139494_240929_231730S10_UN4 - val_lpips__MIN","12139494_240929_231730S10_UN4 - val_lpips__MAX","12139482_240929_231728S10_UN4 - val_lpips","12139482_240929_231728S10_UN4 - val_lpips__MIN","12139482_240929_231728S10_UN4 - val_lpips__MAX","12139506_240929_231707S10_UN4 - val_lpips","12139506_240929_231707S10_UN4 - val_lpips__MIN","12139506_240929_231707S10_UN4 - val_lpips__MAX","12139508_240929_231705S30_UN4 - val_lpips","12139508_240929_231705S30_UN4 - val_lpips__MIN","12139508_240929_231705S30_UN4 - val_lpips__MAX","12139507_240929_231705S20_UN4 - val_lpips","12139507_240929_231705S20_UN4 - val_lpips__MIN","12139507_240929_231705S20_UN4 - val_lpips__MAX"
"80","0.27347391843795776","0.27347391843795776","0.27347391843795776","0.21429786086082458","0.21429786086082458","0.21429786086082458","0.15284155309200287","0.15284155309200287","0.15284155309200287","0.3198702037334442","0.3198702037334442","0.3198702037334442","0.2684209644794464","0.2684209644794464","0.2684209644794464","0.19406971335411072","0.19406971335411072","0.19406971335411072","0.2073364555835724","0.2073364555835724","0.2073364555835724","0.16323237121105194","0.16323237121105194","0.16323237121105194","0.10818837583065033","0.10818837583065033","0.10818837583065033","0.24275605380535126","0.24275605380535126","0.24275605380535126","0.18893194198608398","0.18893194198608398","0.18893194198608398","0.13721416890621185","0.13721416890621185","0.13721416890621185","0.30740588903427124","0.30740588903427124","0.30740588903427124","0.17350441217422485","0.17350441217422485","0.17350441217422485","0.23945565521717072","0.23945565521717072","0.23945565521717072","0.140129953622818","0.140129953622818","0.140129953622818","0.1650913953781128","0.1650913953781128","0.1650913953781128","0.2724376618862152","0.2724376618862152","0.2724376618862152","0.2504897117614746","0.2504897117614746","0.2504897117614746","0.3360788822174072","0.3360788822174072","0.3360788822174072","0.19700336456298828","0.19700336456298828","0.19700336456298828","0.19584286212921143","0.19584286212921143","0.19584286212921143","0.2160089761018753","0.2160089761018753","0.2160089761018753","0.2454158365726471","0.2454158365726471","0.2454158365726471","0.30991503596305847","0.30991503596305847","0.30991503596305847","0.11007348448038101","0.11007348448038101","0.11007348448038101","0.1763327419757843","0.1763327419757843","0.1763327419757843","0.1546386331319809","0.1546386331319809","0.1546386331319809","0.28190553188323975","0.28190553188323975","0.28190553188323975","0.2197256088256836","0.2197256088256836","0.2197256088256836"
"160","0.25867921113967896","0.25867921113967896","0.25867921113967896","0.20587830245494843","0.20587830245494843","0.20587830245494843","0.15299782156944275","0.15299782156944275","0.15299782156944275","0.29848504066467285","0.29848504066467285","0.29848504066467285","0.24794165790081024","0.24794165790081024","0.24794165790081024","0.18777021765708923","0.18777021765708923","0.18777021765708923","0.1966201663017273","0.1966201663017273","0.1966201663017273","0.15035021305084229","0.15035021305084229","0.15035021305084229","0.10424032062292099","0.10424032062292099","0.10424032062292099","0.21433687210083008","0.21433687210083008","0.21433687210083008","0.1782149374485016","0.1782149374485016","0.1782149374485016","0.13137924671173096","0.13137924671173096","0.13137924671173096","0.30573856830596924","0.30573856830596924","0.30573856830596924","0.1677430421113968","0.1677430421113968","0.1677430421113968","0.2338370382785797","0.2338370382785797","0.2338370382785797","0.1371816247701645","0.1371816247701645","0.1371816247701645","0.15866926312446594","0.15866926312446594","0.15866926312446594","0.2644849717617035","0.2644849717617035","0.2644849717617035","0.2324173003435135","0.2324173003435135","0.2324173003435135","0.32185831665992737","0.32185831665992737","0.32185831665992737","0.19422033429145813","0.19422033429145813","0.19422033429145813","0.19028080999851227","0.19028080999851227","0.19028080999851227","0.2125045508146286","0.2125045508146286","0.2125045508146286","0.24681952595710754","0.24681952595710754","0.24681952595710754","0.315909206867218","0.315909206867218","0.315909206867218","0.10785593092441559","0.10785593092441559","0.10785593092441559","0.1732255518436432","0.1732255518436432","0.1732255518436432","0.15443739295005798","0.15443739295005798","0.15443739295005798","0.27547311782836914","0.27547311782836914","0.27547311782836914","0.21503543853759766","0.21503543853759766","0.21503543853759766"
"240","0.25127431750297546","0.25127431750297546","0.25127431750297546","0.19608792662620544","0.19608792662620544","0.19608792662620544","0.1434066891670227","0.1434066891670227","0.1434066891670227","0.29659053683280945","0.29659053683280945","0.29659053683280945","0.24374087154865265","0.24374087154865265","0.24374087154865265","0.18415763974189758","0.18415763974189758","0.18415763974189758","0.17420849204063416","0.17420849204063416","0.17420849204063416","0.1516624391078949","0.1516624391078949","0.1516624391078949","0.10243687778711319","0.10243687778711319","0.10243687778711319","0.20700876414775848","0.20700876414775848","0.20700876414775848","0.17382046580314636","0.17382046580314636","0.17382046580314636","0.13162201642990112","0.13162201642990112","0.13162201642990112","0.288248211145401","0.288248211145401","0.288248211145401","0.16853216290473938","0.16853216290473938","0.16853216290473938","0.23250094056129456","0.23250094056129456","0.23250094056129456","0.13699758052825928","0.13699758052825928","0.13699758052825928","0.1596945971250534","0.1596945971250534","0.1596945971250534","0.2650962471961975","0.2650962471961975","0.2650962471961975","0.22865784168243408","0.22865784168243408","0.22865784168243408","0.3062800467014313","0.3062800467014313","0.3062800467014313","0.19135814905166626","0.19135814905166626","0.19135814905166626","0.1918371617794037","0.1918371617794037","0.1918371617794037","0.19640889763832092","0.19640889763832092","0.19640889763832092","0.24415655434131622","0.24415655434131622","0.24415655434131622","0.2982954978942871","0.2982954978942871","0.2982954978942871","0.1071588397026062","0.1071588397026062","0.1071588397026062","0.1762201339006424","0.1762201339006424","0.1762201339006424","0.14836227893829346","0.14836227893829346","0.14836227893829346","0.26774078607559204","0.26774078607559204","0.26774078607559204","0.2099095582962036","0.2099095582962036","0.2099095582962036"
"320","0.23497560620307922","0.23497560620307922","0.23497560620307922","0.18657559156417847","0.18657559156417847","0.18657559156417847","0.14229819178581238","0.14229819178581238","0.14229819178581238","0.2785125970840454","0.2785125970840454","0.2785125970840454","0.24460680782794952","0.24460680782794952","0.24460680782794952","0.19069795310497284","0.19069795310497284","0.19069795310497284","0.16932399570941925","0.16932399570941925","0.16932399570941925","0.14014390110969543","0.14014390110969543","0.14014390110969543","0.10044561326503754","0.10044561326503754","0.10044561326503754","0.1957530677318573","0.1957530677318573","0.1957530677318573","0.1675734519958496","0.1675734519958496","0.1675734519958496","0.1291728913784027","0.1291728913784027","0.1291728913784027","0.27363669872283936","0.27363669872283936","0.27363669872283936","0.16787463426589966","0.16787463426589966","0.16787463426589966","0.21532908082008362","0.21532908082008362","0.21532908082008362","0.1357729136943817","0.1357729136943817","0.1357729136943817","0.15099604427814484","0.15099604427814484","0.15099604427814484","0.2525666356086731","0.2525666356086731","0.2525666356086731","0.22643761336803436","0.22643761336803436","0.22643761336803436","0.30518391728401184","0.30518391728401184","0.30518391728401184","0.19350239634513855","0.19350239634513855","0.19350239634513855","0.18508020043373108","0.18508020043373108","0.18508020043373108","0.19289004802703857","0.19289004802703857","0.19289004802703857","0.23103201389312744","0.23103201389312744","0.23103201389312744","0.29154449701309204","0.29154449701309204","0.29154449701309204","0.10601554065942764","0.10601554065942764","0.10601554065942764","0.17279992997646332","0.17279992997646332","0.17279992997646332","0.14834323525428772","0.14834323525428772","0.14834323525428772","0.2522687315940857","0.2522687315940857","0.2522687315940857","0.2009391486644745","0.2009391486644745","0.2009391486644745"
"400","0.2270168513059616","0.2270168513059616","0.2270168513059616","0.18457679450511932","0.18457679450511932","0.18457679450511932","0.13985760509967804","0.13985760509967804","0.13985760509967804","0.2682921886444092","0.2682921886444092","0.2682921886444092","0.23899564146995544","0.23899564146995544","0.23899564146995544","0.18236622214317322","0.18236622214317322","0.18236622214317322","0.1693946272134781","0.1693946272134781","0.1693946272134781","0.1312566101551056","0.1312566101551056","0.1312566101551056","0.09835920482873917","0.09835920482873917","0.09835920482873917","0.19952359795570374","0.19952359795570374","0.19952359795570374","0.16361215710639954","0.16361215710639954","0.16361215710639954","0.12265688180923462","0.12265688180923462","0.12265688180923462","0.26627111434936523","0.26627111434936523","0.26627111434936523","0.1650746762752533","0.1650746762752533","0.1650746762752533","0.2139955461025238","0.2139955461025238","0.2139955461025238","0.13253532350063324","0.13253532350063324","0.13253532350063324","0.14694592356681824","0.14694592356681824","0.14694592356681824","0.2576380968093872","0.2576380968093872","0.2576380968093872","0.22782866656780243","0.22782866656780243","0.22782866656780243","0.3046051859855652","0.3046051859855652","0.3046051859855652","0.19039484858512878","0.19039484858512878","0.19039484858512878","0.18080785870552063","0.18080785870552063","0.18080785870552063","0.1910770684480667","0.1910770684480667","0.1910770684480667","0.23137560486793518","0.23137560486793518","0.23137560486793518","0.28652331233024597","0.28652331233024597","0.28652331233024597","0.10672316700220108","0.10672316700220108","0.10672316700220108","0.171829491853714","0.171829491853714","0.171829491853714","0.14891453087329865","0.14891453087329865","0.14891453087329865","0.254984974861145","0.254984974861145","0.254984974861145","0.2024686336517334","0.2024686336517334","0.2024686336517334"
"480","0.21816489100456238","0.21816489100456238","0.21816489100456238","0.18255247175693512","0.18255247175693512","0.18255247175693512","0.13959087431430817","0.13959087431430817","0.13959087431430817","0.2634459435939789","0.2634459435939789","0.2634459435939789","0.22309136390686035","0.22309136390686035","0.22309136390686035","0.17842312157154083","0.17842312157154083","0.17842312157154083","0.16081589460372925","0.16081589460372925","0.16081589460372925","0.12936796247959137","0.12936796247959137","0.12936796247959137","0.09841174632310867","0.09841174632310867","0.09841174632310867","0.19211286306381226","0.19211286306381226","0.19211286306381226","0.1554066687822342","0.1554066687822342","0.1554066687822342","0.12098044157028198","0.12098044157028198","0.12098044157028198","0.2742686867713928","0.2742686867713928","0.2742686867713928","0.16113030910491943","0.16113030910491943","0.16113030910491943","0.20774689316749573","0.20774689316749573","0.20774689316749573","0.13076332211494446","0.13076332211494446","0.13076332211494446","0.14543262124061584","0.14543262124061584","0.14543262124061584","0.2486158162355423","0.2486158162355423","0.2486158162355423","0.21935482323169708","0.21935482323169708","0.21935482323169708","0.2892477214336395","0.2892477214336395","0.2892477214336395","0.18709538877010345","0.18709538877010345","0.18709538877010345","0.17627519369125366","0.17627519369125366","0.17627519369125366","0.18612296879291534","0.18612296879291534","0.18612296879291534","0.2324080914258957","0.2324080914258957","0.2324080914258957","0.2896444499492645","0.2896444499492645","0.2896444499492645","0.10626498609781265","0.10626498609781265","0.10626498609781265","0.16892272233963013","0.16892272233963013","0.16892272233963013","0.14632640779018402","0.14632640779018402","0.14632640779018402","0.2451370507478714","0.2451370507478714","0.2451370507478714","0.20061679184436798","0.20061679184436798","0.20061679184436798"
"560","0.21357333660125732","0.21357333660125732","0.21357333660125732","0.17986395955085754","0.17986395955085754","0.17986395955085754","0.13835157454013824","0.13835157454013824","0.13835157454013824","0.27161669731140137","0.27161669731140137","0.27161669731140137","0.2248350828886032","0.2248350828886032","0.2248350828886032","0.17738518118858337","0.17738518118858337","0.17738518118858337","0.1618645042181015","0.1618645042181015","0.1618645042181015","0.1290672868490219","0.1290672868490219","0.1290672868490219","0.09604658931493759","0.09604658931493759","0.09604658931493759","0.1864822804927826","0.1864822804927826","0.1864822804927826","0.15188388526439667","0.15188388526439667","0.15188388526439667","0.12245108187198639","0.12245108187198639","0.12245108187198639","0.25410372018814087","0.25410372018814087","0.25410372018814087","0.16382279992103577","0.16382279992103577","0.16382279992103577","0.21297264099121094","0.21297264099121094","0.21297264099121094","0.13367024064064026","0.13367024064064026","0.13367024064064026","0.14506939053535461","0.14506939053535461","0.14506939053535461","0.2515326142311096","0.2515326142311096","0.2515326142311096","0.21591916680335999","0.21591916680335999","0.21591916680335999","0.2931143641471863","0.2931143641471863","0.2931143641471863","0.1883179098367691","0.1883179098367691","0.1883179098367691","0.17418858408927917","0.17418858408927917","0.17418858408927917","0.18274489045143127","0.18274489045143127","0.18274489045143127","0.2288661003112793","0.2288661003112793","0.2288661003112793","0.2794129550457001","0.2794129550457001","0.2794129550457001","0.10466678440570831","0.10466678440570831","0.10466678440570831","0.17290881276130676","0.17290881276130676","0.17290881276130676","0.14664378762245178","0.14664378762245178","0.14664378762245178","0.24134676158428192","0.24134676158428192","0.24134676158428192","0.19659516215324402","0.19659516215324402","0.19659516215324402"
"640","0.2152668982744217","0.2152668982744217","0.2152668982744217","0.17813745141029358","0.17813745141029358","0.17813745141029358","0.13317909836769104","0.13317909836769104","0.13317909836769104","0.2570160925388336","0.2570160925388336","0.2570160925388336","0.22397828102111816","0.22397828102111816","0.22397828102111816","0.17249557375907898","0.17249557375907898","0.17249557375907898","0.15789827704429626","0.15789827704429626","0.15789827704429626","0.12891815602779388","0.12891815602779388","0.12891815602779388","0.09740258753299713","0.09740258753299713","0.09740258753299713","0.19041940569877625","0.19041940569877625","0.19041940569877625","0.157974511384964","0.157974511384964","0.157974511384964","0.1214369684457779","0.1214369684457779","0.1214369684457779","0.24852295219898224","0.24852295219898224","0.24852295219898224","0.1581447869539261","0.1581447869539261","0.1581447869539261","0.20433127880096436","0.20433127880096436","0.20433127880096436","0.13039015233516693","0.13039015233516693","0.13039015233516693","0.14573439955711365","0.14573439955711365","0.14573439955711365","0.24596735835075378","0.24596735835075378","0.24596735835075378","0.21574673056602478","0.21574673056602478","0.21574673056602478","0.28970736265182495","0.28970736265182495","0.28970736265182495","0.1822437196969986","0.1822437196969986","0.1822437196969986","0.17955218255519867","0.17955218255519867","0.17955218255519867","0.18222329020500183","0.18222329020500183","0.18222329020500183","0.22233831882476807","0.22233831882476807","0.22233831882476807","0.26806527376174927","0.26806527376174927","0.26806527376174927","0.105257548391819","0.105257548391819","0.105257548391819","0.16640201210975647","0.16640201210975647","0.16640201210975647","0.14143793284893036","0.14143793284893036","0.14143793284893036","0.23711594939231873","0.23711594939231873","0.23711594939231873","0.19708958268165588","0.19708958268165588","0.19708958268165588"
"720","0.21206815540790558","0.21206815540790558","0.21206815540790558","0.17715142667293549","0.17715142667293549","0.17715142667293549","0.13224557042121887","0.13224557042121887","0.13224557042121887","0.26285111904144287","0.26285111904144287","0.26285111904144287","0.2214166671037674","0.2214166671037674","0.2214166671037674","0.17159655690193176","0.17159655690193176","0.17159655690193176","0.1469697654247284","0.1469697654247284","0.1469697654247284","0.12543116509914398","0.12543116509914398","0.12543116509914398","0.0927596241235733","0.0927596241235733","0.0927596241235733","0.1851215660572052","0.1851215660572052","0.1851215660572052","0.15077444911003113","0.15077444911003113","0.15077444911003113","0.11803025007247925","0.11803025007247925","0.11803025007247925","0.24160321056842804","0.24160321056842804","0.24160321056842804","0.15892748534679413","0.15892748534679413","0.15892748534679413","0.20417770743370056","0.20417770743370056","0.20417770743370056","0.13018369674682617","0.13018369674682617","0.13018369674682617","0.14384868741035461","0.14384868741035461","0.14384868741035461","0.2423776090145111","0.2423776090145111","0.2423776090145111","0.21450188755989075","0.21450188755989075","0.21450188755989075","0.2956598103046417","0.2956598103046417","0.2956598103046417","0.1833271086215973","0.1833271086215973","0.1833271086215973","0.17054709792137146","0.17054709792137146","0.17054709792137146","0.17384538054466248","0.17384538054466248","0.17384538054466248","0.22664682567119598","0.22664682567119598","0.22664682567119598","0.27108338475227356","0.27108338475227356","0.27108338475227356","0.10312873125076294","0.10312873125076294","0.10312873125076294","0.16717062890529633","0.16717062890529633","0.16717062890529633","0.14497829973697662","0.14497829973697662","0.14497829973697662","0.24275878071784973","0.24275878071784973","0.24275878071784973","0.19951820373535156","0.19951820373535156","0.19951820373535156"
"800","0.20730197429656982","0.20730197429656982","0.20730197429656982","0.17412857711315155","0.17412857711315155","0.17412857711315155","0.13109664618968964","0.13109664618968964","0.13109664618968964","0.25010013580322266","0.25010013580322266","0.25010013580322266","0.22295236587524414","0.22295236587524414","0.22295236587524414","0.1701660454273224","0.1701660454273224","0.1701660454273224","0.14693570137023926","0.14693570137023926","0.14693570137023926","0.12374354898929596","0.12374354898929596","0.12374354898929596","0.09193263947963715","0.09193263947963715","0.09193263947963715","0.18208077549934387","0.18208077549934387","0.18208077549934387","0.14975538849830627","0.14975538849830627","0.14975538849830627","0.11866971105337143","0.11866971105337143","0.11866971105337143","0.24312980473041534","0.24312980473041534","0.24312980473041534","0.1548330932855606","0.1548330932855606","0.1548330932855606","0.1985246241092682","0.1985246241092682","0.1985246241092682","0.1299469769001007","0.1299469769001007","0.1299469769001007","0.14235761761665344","0.14235761761665344","0.14235761761665344","0.25557708740234375","0.25557708740234375","0.25557708740234375","0.21136972308158875","0.21136972308158875","0.21136972308158875","0.2761860489845276","0.2761860489845276","0.2761860489845276","0.1811927855014801","0.1811927855014801","0.1811927855014801","0.17204701900482178","0.17204701900482178","0.17204701900482178","0.17571315169334412","0.17571315169334412","0.17571315169334412","0.22190730273723602","0.22190730273723602","0.22190730273723602","0.26870983839035034","0.26870983839035034","0.26870983839035034","0.10310900211334229","0.10310900211334229","0.10310900211334229","0.16445815563201904","0.16445815563201904","0.16445815563201904","0.14084647595882416","0.14084647595882416","0.14084647595882416","0.23450176417827606","0.23450176417827606","0.23450176417827606","0.19768281280994415","0.19768281280994415","0.19768281280994415"
