"Step","12139481_240930_010246S30_UN128_CN128 - val_lpips","12139481_240930_010246S30_UN128_CN128 - val_lpips__MIN","12139481_240930_010246S30_UN128_CN128 - val_lpips__MAX","12139557_240930_010100S20_UN128_CN128 - val_lpips","12139557_240930_010100S20_UN128_CN128 - val_lpips__MIN","12139557_240930_010100S20_UN128_CN128 - val_lpips__MAX","12139552_240930_004322S10_UN128_CN128 - val_lpips","12139552_240930_004322S10_UN128_CN128 - val_lpips__MIN","12139552_240930_004322S10_UN128_CN128 - val_lpips__MAX","12139539_240930_001813S30_UN128_CN128 - val_lpips","12139539_240930_001813S30_UN128_CN128 - val_lpips__MIN","12139539_240930_001813S30_UN128_CN128 - val_lpips__MAX","12139537_240930_001549S10_UN128_CN128 - val_lpips","12139537_240930_001549S10_UN128_CN128 - val_lpips__MIN","12139537_240930_001549S10_UN128_CN128 - val_lpips__MAX","12139531_240929_235839S30_UN128_CN128 - val_lpips","12139531_240929_235839S30_UN128_CN128 - val_lpips__MIN","12139531_240929_235839S30_UN128_CN128 - val_lpips__MAX","12139530_240929_235839S20_UN128_CN128 - val_lpips","12139530_240929_235839S20_UN128_CN128 - val_lpips__MIN","12139530_240929_235839S20_UN128_CN128 - val_lpips__MAX","12139529_240929_235239S10_UN128_CN128 - val_lpips","12139529_240929_235239S10_UN128_CN128 - val_lpips__MIN","12139529_240929_235239S10_UN128_CN128 - val_lpips__MAX","12139523_240929_232850S30_UN128_CN128 - val_lpips","12139523_240929_232850S30_UN128_CN128 - val_lpips__MIN","12139523_240929_232850S30_UN128_CN128 - val_lpips__MAX","12139522_240929_232403S20_UN128_CN128 - val_lpips","12139522_240929_232403S20_UN128_CN128 - val_lpips__MIN","12139522_240929_232403S20_UN128_CN128 - val_lpips__MAX","12139521_240929_232338S10_UN128_CN128 - val_lpips","12139521_240929_232338S10_UN128_CN128 - val_lpips__MIN","12139521_240929_232338S10_UN128_CN128 - val_lpips__MAX","12139517_240929_232222S30_UN128_CN128 - val_lpips","12139517_240929_232222S30_UN128_CN128 - val_lpips__MIN","12139517_240929_232222S30_UN128_CN128 - val_lpips__MAX","12139516_240929_232149S20_UN128_CN128 - val_lpips","12139516_240929_232149S20_UN128_CN128 - val_lpips__MIN","12139516_240929_232149S20_UN128_CN128 - val_lpips__MAX","12139515_240929_232133S10_UN128_CN128 - val_lpips","12139515_240929_232133S10_UN128_CN128 - val_lpips__MIN","12139515_240929_232133S10_UN128_CN128 - val_lpips__MAX","12139491_240929_231730S10_UN128 - val_lpips","12139491_240929_231730S10_UN128 - val_lpips__MIN","12139491_240929_231730S10_UN128 - val_lpips__MAX","12139492_240929_231730S20_UN128 - val_lpips","12139492_240929_231730S20_UN128 - val_lpips__MIN","12139492_240929_231730S20_UN128 - val_lpips__MAX","12139487_240929_231736S30_UN128 - val_lpips","12139487_240929_231736S30_UN128 - val_lpips__MIN","12139487_240929_231736S30_UN128 - val_lpips__MAX","12139485_240929_231732S10_UN128 - val_lpips","12139485_240929_231732S10_UN128 - val_lpips__MIN","12139485_240929_231732S10_UN128 - val_lpips__MAX","12139497_240929_231734S10_UN128 - val_lpips","12139497_240929_231734S10_UN128 - val_lpips__MIN","12139497_240929_231734S10_UN128 - val_lpips__MAX","12139498_240929_231734S20_UN128 - val_lpips","12139498_240929_231734S20_UN128 - val_lpips__MIN","12139498_240929_231734S20_UN128 - val_lpips__MAX","12139486_240929_231732S20_UN128 - val_lpips","12139486_240929_231732S20_UN128 - val_lpips__MIN","12139486_240929_231732S20_UN128 - val_lpips__MAX","12139499_240929_231732S30_UN128 - val_lpips","12139499_240929_231732S30_UN128 - val_lpips__MIN","12139499_240929_231732S30_UN128 - val_lpips__MAX","12139504_240929_231707S20_UN128 - val_lpips","12139504_240929_231707S20_UN128 - val_lpips__MIN","12139504_240929_231707S20_UN128 - val_lpips__MAX","12139505_240929_231707S30_UN128 - val_lpips","12139505_240929_231707S30_UN128 - val_lpips__MIN","12139505_240929_231707S30_UN128 - val_lpips__MAX","12139503_240929_231707S10_UN128 - val_lpips","12139503_240929_231707S10_UN128 - val_lpips__MIN","12139503_240929_231707S10_UN128 - val_lpips__MAX","12139510_240929_231705S20_UN128 - val_lpips","12139510_240929_231705S20_UN128 - val_lpips__MIN","12139510_240929_231705S20_UN128 - val_lpips__MAX","12139509_240929_231705S10_UN128 - val_lpips","12139509_240929_231705S10_UN128 - val_lpips__MIN","12139509_240929_231705S10_UN128 - val_lpips__MAX","12139511_240929_231657S30_UN128 - val_lpips","12139511_240929_231657S30_UN128 - val_lpips__MIN","12139511_240929_231657S30_UN128 - val_lpips__MAX"
"80","0.26407724618911743","0.26407724618911743","0.26407724618911743","0.2123442143201828","0.2123442143201828","0.2123442143201828","0.15101471543312073","0.15101471543312073","0.15101471543312073","0.3060327172279358","0.3060327172279358","0.3060327172279358","0.1906178891658783","0.1906178891658783","0.1906178891658783","0.2020159512758255","0.2020159512758255","0.2020159512758255","0.15831220149993896","0.15831220149993896","0.15831220149993896","0.1060987114906311","0.1060987114906311","0.1060987114906311","0.2404588758945465","0.2404588758945465","0.2404588758945465","0.18963651359081268","0.18963651359081268","0.18963651359081268","0.13808035850524902","0.13808035850524902","0.13808035850524902","0.2953895628452301","0.2953895628452301","0.2953895628452301","0.23284336924552917","0.23284336924552917","0.23284336924552917","0.17402809858322144","0.17402809858322144","0.17402809858322144","0.13843493163585663","0.13843493163585663","0.13843493163585663","0.1927797496318817","0.1927797496318817","0.1927797496318817","0.29792478680610657","0.29792478680610657","0.29792478680610657","0.17575564980506897","0.17575564980506897","0.17575564980506897","0.10843314975500107","0.10843314975500107","0.10843314975500107","0.1639968603849411","0.1639968603849411","0.1639968603849411","0.23774461448192596","0.23774461448192596","0.23774461448192596","0.20816254615783691","0.20816254615783691","0.20816254615783691","0.2621927261352539","0.2621927261352539","0.2621927261352539","0.3131009638309479","0.3131009638309479","0.3131009638309479","0.19420552253723145","0.19420552253723145","0.19420552253723145","0.21192201972007751","0.21192201972007751","0.21192201972007751","0.15160518884658813","0.15160518884658813","0.15160518884658813","0.2618024945259094","0.2618024945259094","0.2618024945259094"
"160","0.24195778369903564","0.24195778369903564","0.24195778369903564","0.20512373745441437","0.20512373745441437","0.20512373745441437","0.14948274195194244","0.14948274195194244","0.14948274195194244","0.3047179579734802","0.3047179579734802","0.3047179579734802","0.18882936239242554","0.18882936239242554","0.18882936239242554","0.1867751181125641","0.1867751181125641","0.1867751181125641","0.14623183012008667","0.14623183012008667","0.14623183012008667","0.1022237166762352","0.1022237166762352","0.1022237166762352","0.20592980086803436","0.20592980086803436","0.20592980086803436","0.1735941767692566","0.1735941767692566","0.1735941767692566","0.13015532493591309","0.13015532493591309","0.13015532493591309","0.2735981047153473","0.2735981047153473","0.2735981047153473","0.23269227147102356","0.23269227147102356","0.23269227147102356","0.16627909243106842","0.16627909243106842","0.16627909243106842","0.1343153566122055","0.1343153566122055","0.1343153566122055","0.18013621866703033","0.18013621866703033","0.18013621866703033","0.28276515007019043","0.28276515007019043","0.28276515007019043","0.16868120431900024","0.16868120431900024","0.16868120431900024","0.10494154691696167","0.10494154691696167","0.10494154691696167","0.15382049977779388","0.15382049977779388","0.15382049977779388","0.2405737340450287","0.2405737340450287","0.2405737340450287","0.1978987157344818","0.1978987157344818","0.1978987157344818","0.25522950291633606","0.25522950291633606","0.25522950291633606","0.3302921950817108","0.3302921950817108","0.3302921950817108","0.19493368268013","0.19493368268013","0.19493368268013","0.20802918076515198","0.20802918076515198","0.20802918076515198","0.15139062702655792","0.15139062702655792","0.15139062702655792","0.2556018531322479","0.2556018531322479","0.2556018531322479"
"240","0.23507341742515564","0.23507341742515564","0.23507341742515564","0.18432177603244781","0.18432177603244781","0.18432177603244781","0.14099688827991486","0.14099688827991486","0.14099688827991486","0.2789002060890198","0.2789002060890198","0.2789002060890198","0.18228217959403992","0.18228217959403992","0.18228217959403992","0.18004539608955383","0.18004539608955383","0.18004539608955383","0.14263887703418732","0.14263887703418732","0.14263887703418732","0.09873159229755402","0.09873159229755402","0.09873159229755402","0.19871297478675842","0.19871297478675842","0.19871297478675842","0.16818508505821228","0.16818508505821228","0.16818508505821228","0.12894673645496368","0.12894673645496368","0.12894673645496368","0.2676253914833069","0.2676253914833069","0.2676253914833069","0.2210114300251007","0.2210114300251007","0.2210114300251007","0.16723792254924774","0.16723792254924774","0.16723792254924774","0.13137231767177582","0.13137231767177582","0.13137231767177582","0.17692841589450836","0.17692841589450836","0.17692841589450836","0.27849963307380676","0.27849963307380676","0.27849963307380676","0.17092934250831604","0.17092934250831604","0.17092934250831604","0.10202693939208984","0.10202693939208984","0.10202693939208984","0.14986640214920044","0.14986640214920044","0.14986640214920044","0.2293653041124344","0.2293653041124344","0.2293653041124344","0.18323104083538055","0.18323104083538055","0.18323104083538055","0.24509461224079132","0.24509461224079132","0.24509461224079132","0.29152947664260864","0.29152947664260864","0.29152947664260864","0.18851223587989807","0.18851223587989807","0.18851223587989807","0.19527454674243927","0.19527454674243927","0.19527454674243927","0.14428630471229553","0.14428630471229553","0.14428630471229553","0.2529676556587219","0.2529676556587219","0.2529676556587219"
"320","0.2217835932970047","0.2217835932970047","0.2217835932970047","0.18471157550811768","0.18471157550811768","0.18471157550811768","0.14215567708015442","0.14215567708015442","0.14215567708015442","0.27682802081108093","0.27682802081108093","0.27682802081108093","0.1860848069190979","0.1860848069190979","0.1860848069190979","0.1663857251405716","0.1663857251405716","0.1663857251405716","0.1330355405807495","0.1330355405807495","0.1330355405807495","0.0983053520321846","0.0983053520321846","0.0983053520321846","0.18969543278217316","0.18969543278217316","0.18969543278217316","0.1602051854133606","0.1602051854133606","0.1602051854133606","0.1263132393360138","0.1263132393360138","0.1263132393360138","0.26300862431526184","0.26300862431526184","0.26300862431526184","0.21175996959209442","0.21175996959209442","0.21175996959209442","0.15983060002326965","0.15983060002326965","0.15983060002326965","0.1282358020544052","0.1282358020544052","0.1282358020544052","0.16846558451652527","0.16846558451652527","0.16846558451652527","0.26977378129959106","0.26977378129959106","0.26977378129959106","0.16346034407615662","0.16346034407615662","0.16346034407615662","0.10276472568511963","0.10276472568511963","0.10276472568511963","0.14006377756595612","0.14006377756595612","0.14006377756595612","0.2199241667985916","0.2199241667985916","0.2199241667985916","0.1768152266740799","0.1768152266740799","0.1768152266740799","0.24419155716896057","0.24419155716896057","0.24419155716896057","0.28334155678749084","0.28334155678749084","0.28334155678749084","0.18791615962982178","0.18791615962982178","0.18791615962982178","0.19027040898799896","0.19027040898799896","0.19027040898799896","0.14631618559360504","0.14631618559360504","0.14631618559360504","0.23540878295898438","0.23540878295898438","0.23540878295898438"
"400","0.21887728571891785","0.21887728571891785","0.21887728571891785","0.18049421906471252","0.18049421906471252","0.18049421906471252","0.14227798581123352","0.14227798581123352","0.14227798581123352","0.26997774839401245","0.26997774839401245","0.26997774839401245","0.17646567523479462","0.17646567523479462","0.17646567523479462","0.15839166939258575","0.15839166939258575","0.15839166939258575","0.13134178519248962","0.13134178519248962","0.13134178519248962","0.09757862240076065","0.09757862240076065","0.09757862240076065","0.19311560690402985","0.19311560690402985","0.19311560690402985","0.1570548266172409","0.1570548266172409","0.1570548266172409","0.12409009784460068","0.12409009784460068","0.12409009784460068","0.25775346159935","0.25775346159935","0.25775346159935","0.20958778262138367","0.20958778262138367","0.20958778262138367","0.16072866320610046","0.16072866320610046","0.16072866320610046","0.12594962120056152","0.12594962120056152","0.12594962120056152","0.16557562351226807","0.16557562351226807","0.16557562351226807","0.27306437492370605","0.27306437492370605","0.27306437492370605","0.16659599542617798","0.16659599542617798","0.16659599542617798","0.10172531753778458","0.10172531753778458","0.10172531753778458","0.13839751482009888","0.13839751482009888","0.13839751482009888","0.22112424671649933","0.22112424671649933","0.22112424671649933","0.16700464487075806","0.16700464487075806","0.16700464487075806","0.23771600425243378","0.23771600425243378","0.23771600425243378","0.287497341632843","0.287497341632843","0.287497341632843","0.18345093727111816","0.18345093727111816","0.18345093727111816","0.19036586582660675","0.19036586582660675","0.19036586582660675","0.1433325558900833","0.1433325558900833","0.1433325558900833","0.22980114817619324","0.22980114817619324","0.22980114817619324"
"480","0.21240463852882385","0.21240463852882385","0.21240463852882385","0.1745498925447464","0.1745498925447464","0.1745498925447464","0.13681913912296295","0.13681913912296295","0.13681913912296295","0.26419496536254883","0.26419496536254883","0.26419496536254883","0.18071182072162628","0.18071182072162628","0.18071182072162628","0.1499681919813156","0.1499681919813156","0.1499681919813156","0.1266840398311615","0.1266840398311615","0.1266840398311615","0.09483076632022858","0.09483076632022858","0.09483076632022858","0.18022173643112183","0.18022173643112183","0.18022173643112183","0.15488426387310028","0.15488426387310028","0.15488426387310028","0.12175377458333969","0.12175377458333969","0.12175377458333969","0.240644171833992","0.240644171833992","0.240644171833992","0.2038068324327469","0.2038068324327469","0.2038068324327469","0.15451781451702118","0.15451781451702118","0.15451781451702118","0.12335963547229767","0.12335963547229767","0.12335963547229767","0.16191180050373077","0.16191180050373077","0.16191180050373077","0.25314363837242126","0.25314363837242126","0.25314363837242126","0.16012731194496155","0.16012731194496155","0.16012731194496155","0.10013353824615479","0.10013353824615479","0.10013353824615479","0.13491412997245789","0.13491412997245789","0.13491412997245789","0.21137483417987823","0.21137483417987823","0.21137483417987823","0.1608894318342209","0.1608894318342209","0.1608894318342209","0.23454609513282776","0.23454609513282776","0.23454609513282776","0.2837771475315094","0.2837771475315094","0.2837771475315094","0.18575045466423035","0.18575045466423035","0.18575045466423035","0.18409889936447144","0.18409889936447144","0.18409889936447144","0.14082428812980652","0.14082428812980652","0.14082428812980652","0.22461476922035217","0.22461476922035217","0.22461476922035217"
"560","0.2067437469959259","0.2067437469959259","0.2067437469959259","0.1695989966392517","0.1695989966392517","0.1695989966392517","0.1357969343662262","0.1357969343662262","0.1357969343662262","0.2533939778804779","0.2533939778804779","0.2533939778804779","0.17404219508171082","0.17404219508171082","0.17404219508171082","0.15202665328979492","0.15202665328979492","0.15202665328979492","0.12095971405506134","0.12095971405506134","0.12095971405506134","0.09557520598173141","0.09557520598173141","0.09557520598173141","0.1734503209590912","0.1734503209590912","0.1734503209590912","0.14435340464115143","0.14435340464115143","0.14435340464115143","0.12245424091815948","0.12245424091815948","0.12245424091815948","0.2430936098098755","0.2430936098098755","0.2430936098098755","0.20429417490959167","0.20429417490959167","0.20429417490959167","0.15559642016887665","0.15559642016887665","0.15559642016887665","0.12447605282068253","0.12447605282068253","0.12447605282068253","0.15555858612060547","0.15555858612060547","0.15555858612060547","0.2525263726711273","0.2525263726711273","0.2525263726711273","0.16115401685237885","0.16115401685237885","0.16115401685237885","0.09911008924245834","0.09911008924245834","0.09911008924245834","0.12943600118160248","0.12943600118160248","0.12943600118160248","0.21148589253425598","0.21148589253425598","0.21148589253425598","0.1606604903936386","0.1606604903936386","0.1606604903936386","0.22760489583015442","0.22760489583015442","0.22760489583015442","0.27013006806373596","0.27013006806373596","0.27013006806373596","0.1818411946296692","0.1818411946296692","0.1818411946296692","0.1817285567522049","0.1817285567522049","0.1817285567522049","0.1399340182542801","0.1399340182542801","0.1399340182542801","0.22768183052539825","0.22768183052539825","0.22768183052539825"
"640","0.2061118185520172","0.2061118185520172","0.2061118185520172","0.17119944095611572","0.17119944095611572","0.17119944095611572","0.13274356722831726","0.13274356722831726","0.13274356722831726","0.2567482590675354","0.2567482590675354","0.2567482590675354","0.17167294025421143","0.17167294025421143","0.17167294025421143","0.15801265835762024","0.15801265835762024","0.15801265835762024","0.11963711678981781","0.11963711678981781","0.11963711678981781","0.09428931772708893","0.09428931772708893","0.09428931772708893","0.17968404293060303","0.17968404293060303","0.17968404293060303","0.1466229259967804","0.1466229259967804","0.1466229259967804","0.1178969144821167","0.1178969144821167","0.1178969144821167","0.234720379114151","0.234720379114151","0.234720379114151","0.19770650565624237","0.19770650565624237","0.19770650565624237","0.1510714888572693","0.1510714888572693","0.1510714888572693","0.12035147100687027","0.12035147100687027","0.12035147100687027","0.15658971667289734","0.15658971667289734","0.15658971667289734","0.24487432837486267","0.24487432837486267","0.24487432837486267","0.1579960137605667","0.1579960137605667","0.1579960137605667","0.09840874373912811","0.09840874373912811","0.09840874373912811","0.138009712100029","0.138009712100029","0.138009712100029","0.20724406838417053","0.20724406838417053","0.20724406838417053","0.16296809911727905","0.16296809911727905","0.16296809911727905","0.22563676536083221","0.22563676536083221","0.22563676536083221","0.27339601516723633","0.27339601516723633","0.27339601516723633","0.17937280237674713","0.17937280237674713","0.17937280237674713","0.18015022575855255","0.18015022575855255","0.18015022575855255","0.13561949133872986","0.13561949133872986","0.13561949133872986","0.2184842824935913","0.2184842824935913","0.2184842824935913"
"720","0.19806453585624695","0.19806453585624695","0.19806453585624695","0.17021118104457855","0.17021118104457855","0.17021118104457855","0.1301998347043991","0.1301998347043991","0.1301998347043991","0.24935273826122284","0.24935273826122284","0.24935273826122284","0.16889117658138275","0.16889117658138275","0.16889117658138275","0.14386585354804993","0.14386585354804993","0.14386585354804993","0.12050990015268326","0.12050990015268326","0.12050990015268326","0.09207271784543991","0.09207271784543991","0.09207271784543991","0.1704230159521103","0.1704230159521103","0.1704230159521103","0.14398488402366638","0.14398488402366638","0.14398488402366638","0.11774662882089615","0.11774662882089615","0.11774662882089615","0.22960439324378967","0.22960439324378967","0.22960439324378967","0.1967233121395111","0.1967233121395111","0.1967233121395111","0.15424780547618866","0.15424780547618866","0.15424780547618866","0.12037460505962372","0.12037460505962372","0.12037460505962372","0.1545778065919876","0.1545778065919876","0.1545778065919876","0.2430485188961029","0.2430485188961029","0.2430485188961029","0.15933075547218323","0.15933075547218323","0.15933075547218323","0.09653506428003311","0.09653506428003311","0.09653506428003311","0.13064326345920563","0.13064326345920563","0.13064326345920563","0.2035200595855713","0.2035200595855713","0.2035200595855713","0.1550399363040924","0.1550399363040924","0.1550399363040924","0.22830596566200256","0.22830596566200256","0.22830596566200256","0.26918068528175354","0.26918068528175354","0.26918068528175354","0.17738482356071472","0.17738482356071472","0.17738482356071472","0.17646637558937073","0.17646637558937073","0.17646637558937073","0.13510921597480774","0.13510921597480774","0.13510921597480774","0.21102555096149445","0.21102555096149445","0.21102555096149445"
"800","0.19308233261108398","0.19308233261108398","0.19308233261108398","0.16591079533100128","0.16591079533100128","0.16591079533100128","0.12775318324565887","0.12775318324565887","0.12775318324565887","0.24705536663532257","0.24705536663532257","0.24705536663532257","0.16920770704746246","0.16920770704746246","0.16920770704746246","0.14045782387256622","0.14045782387256622","0.14045782387256622","0.11682251840829849","0.11682251840829849","0.11682251840829849","0.09025165438652039","0.09025165438652039","0.09025165438652039","0.16607220470905304","0.16607220470905304","0.16607220470905304","0.14212211966514587","0.14212211966514587","0.14212211966514587","0.11345366388559341","0.11345366388559341","0.11345366388559341","0.22058506309986115","0.22058506309986115","0.22058506309986115","0.19654420018196106","0.19654420018196106","0.19654420018196106","0.14981409907341003","0.14981409907341003","0.14981409907341003","0.1174565777182579","0.1174565777182579","0.1174565777182579","0.15183007717132568","0.15183007717132568","0.15183007717132568","0.23642544448375702","0.23642544448375702","0.23642544448375702","0.15714232623577118","0.15714232623577118","0.15714232623577118","0.09539476782083511","0.09539476782083511","0.09539476782083511","0.1267954409122467","0.1267954409122467","0.1267954409122467","0.20152294635772705","0.20152294635772705","0.20152294635772705","0.15013232827186584","0.15013232827186584","0.15013232827186584","0.22709937393665314","0.22709937393665314","0.22709937393665314","0.2606799006462097","0.2606799006462097","0.2606799006462097","0.17840418219566345","0.17840418219566345","0.17840418219566345","0.17740240693092346","0.17740240693092346","0.17740240693092346","0.1328982263803482","0.1328982263803482","0.1328982263803482","0.2074965536594391","0.2074965536594391","0.2074965536594391"
