"Step","12139481_240930_010246S30_UN128_CN128 - val_val_ref_ssim","12139481_240930_010246S30_UN128_CN128 - val_val_ref_ssim__MIN","12139481_240930_010246S30_UN128_CN128 - val_val_ref_ssim__MAX","12139557_240930_010100S20_UN128_CN128 - val_val_ref_ssim","12139557_240930_010100S20_UN128_CN128 - val_val_ref_ssim__MIN","12139557_240930_010100S20_UN128_CN128 - val_val_ref_ssim__MAX","12139552_240930_004322S10_UN128_CN128 - val_val_ref_ssim","12139552_240930_004322S10_UN128_CN128 - val_val_ref_ssim__MIN","12139552_240930_004322S10_UN128_CN128 - val_val_ref_ssim__MAX","12139539_240930_001813S30_UN128_CN128 - val_val_ref_ssim","12139539_240930_001813S30_UN128_CN128 - val_val_ref_ssim__MIN","12139539_240930_001813S30_UN128_CN128 - val_val_ref_ssim__MAX","12139537_240930_001549S10_UN128_CN128 - val_val_ref_ssim","12139537_240930_001549S10_UN128_CN128 - val_val_ref_ssim__MIN","12139537_240930_001549S10_UN128_CN128 - val_val_ref_ssim__MAX","12139531_240929_235839S30_UN128_CN128 - val_val_ref_ssim","12139531_240929_235839S30_UN128_CN128 - val_val_ref_ssim__MIN","12139531_240929_235839S30_UN128_CN128 - val_val_ref_ssim__MAX","12139530_240929_235839S20_UN128_CN128 - val_val_ref_ssim","12139530_240929_235839S20_UN128_CN128 - val_val_ref_ssim__MIN","12139530_240929_235839S20_UN128_CN128 - val_val_ref_ssim__MAX","12139529_240929_235239S10_UN128_CN128 - val_val_ref_ssim","12139529_240929_235239S10_UN128_CN128 - val_val_ref_ssim__MIN","12139529_240929_235239S10_UN128_CN128 - val_val_ref_ssim__MAX","12139523_240929_232850S30_UN128_CN128 - val_val_ref_ssim","12139523_240929_232850S30_UN128_CN128 - val_val_ref_ssim__MIN","12139523_240929_232850S30_UN128_CN128 - val_val_ref_ssim__MAX","12139522_240929_232403S20_UN128_CN128 - val_val_ref_ssim","12139522_240929_232403S20_UN128_CN128 - val_val_ref_ssim__MIN","12139522_240929_232403S20_UN128_CN128 - val_val_ref_ssim__MAX","12139521_240929_232338S10_UN128_CN128 - val_val_ref_ssim","12139521_240929_232338S10_UN128_CN128 - val_val_ref_ssim__MIN","12139521_240929_232338S10_UN128_CN128 - val_val_ref_ssim__MAX","12139517_240929_232222S30_UN128_CN128 - val_val_ref_ssim","12139517_240929_232222S30_UN128_CN128 - val_val_ref_ssim__MIN","12139517_240929_232222S30_UN128_CN128 - val_val_ref_ssim__MAX","12139516_240929_232149S20_UN128_CN128 - val_val_ref_ssim","12139516_240929_232149S20_UN128_CN128 - val_val_ref_ssim__MIN","12139516_240929_232149S20_UN128_CN128 - val_val_ref_ssim__MAX","12139515_240929_232133S10_UN128_CN128 - val_val_ref_ssim","12139515_240929_232133S10_UN128_CN128 - val_val_ref_ssim__MIN","12139515_240929_232133S10_UN128_CN128 - val_val_ref_ssim__MAX","12139491_240929_231730S10_UN128 - val_val_ref_ssim","12139491_240929_231730S10_UN128 - val_val_ref_ssim__MIN","12139491_240929_231730S10_UN128 - val_val_ref_ssim__MAX","12139492_240929_231730S20_UN128 - val_val_ref_ssim","12139492_240929_231730S20_UN128 - val_val_ref_ssim__MIN","12139492_240929_231730S20_UN128 - val_val_ref_ssim__MAX","12139487_240929_231736S30_UN128 - val_val_ref_ssim","12139487_240929_231736S30_UN128 - val_val_ref_ssim__MIN","12139487_240929_231736S30_UN128 - val_val_ref_ssim__MAX","12139485_240929_231732S10_UN128 - val_val_ref_ssim","12139485_240929_231732S10_UN128 - val_val_ref_ssim__MIN","12139485_240929_231732S10_UN128 - val_val_ref_ssim__MAX","12139497_240929_231734S10_UN128 - val_val_ref_ssim","12139497_240929_231734S10_UN128 - val_val_ref_ssim__MIN","12139497_240929_231734S10_UN128 - val_val_ref_ssim__MAX","12139498_240929_231734S20_UN128 - val_val_ref_ssim","12139498_240929_231734S20_UN128 - val_val_ref_ssim__MIN","12139498_240929_231734S20_UN128 - val_val_ref_ssim__MAX","12139486_240929_231732S20_UN128 - val_val_ref_ssim","12139486_240929_231732S20_UN128 - val_val_ref_ssim__MIN","12139486_240929_231732S20_UN128 - val_val_ref_ssim__MAX","12139499_240929_231732S30_UN128 - val_val_ref_ssim","12139499_240929_231732S30_UN128 - val_val_ref_ssim__MIN","12139499_240929_231732S30_UN128 - val_val_ref_ssim__MAX","12139504_240929_231707S20_UN128 - val_val_ref_ssim","12139504_240929_231707S20_UN128 - val_val_ref_ssim__MIN","12139504_240929_231707S20_UN128 - val_val_ref_ssim__MAX","12139505_240929_231707S30_UN128 - val_val_ref_ssim","12139505_240929_231707S30_UN128 - val_val_ref_ssim__MIN","12139505_240929_231707S30_UN128 - val_val_ref_ssim__MAX","12139503_240929_231707S10_UN128 - val_val_ref_ssim","12139503_240929_231707S10_UN128 - val_val_ref_ssim__MIN","12139503_240929_231707S10_UN128 - val_val_ref_ssim__MAX","12139510_240929_231705S20_UN128 - val_val_ref_ssim","12139510_240929_231705S20_UN128 - val_val_ref_ssim__MIN","12139510_240929_231705S20_UN128 - val_val_ref_ssim__MAX","12139509_240929_231705S10_UN128 - val_val_ref_ssim","12139509_240929_231705S10_UN128 - val_val_ref_ssim__MIN","12139509_240929_231705S10_UN128 - val_val_ref_ssim__MAX","12139511_240929_231657S30_UN128 - val_val_ref_ssim","12139511_240929_231657S30_UN128 - val_val_ref_ssim__MIN","12139511_240929_231657S30_UN128 - val_val_ref_ssim__MAX"
"80","0.626192569732666","0.626192569732666","0.626192569732666","0.6307625770568848","0.6307625770568848","0.6307625770568848","0.6281290650367737","0.6281290650367737","0.6281290650367737","0.6279503107070923","0.6279503107070923","0.6279503107070923","0.6200078129768372","0.6200078129768372","0.6200078129768372","0.465678334236145","0.465678334236145","0.465678334236145","0.45950934290885925","0.45950934290885925","0.45950934290885925","0.4579208195209503","0.4579208195209503","0.4579208195209503","0.44473764300346375","0.44473764300346375","0.44473764300346375","0.4421098530292511","0.4421098530292511","0.4421098530292511","0.43533724546432495","0.43533724546432495","0.43533724546432495","0.6615599393844604","0.6615599393844604","0.6615599393844604","0.666019082069397","0.666019082069397","0.666019082069397","0.6625804305076599","0.6625804305076599","0.6625804305076599","0.43485021591186523","0.43485021591186523","0.43485021591186523","0.44319599866867065","0.44319599866867065","0.44319599866867065","0.6635557413101196","0.6635557413101196","0.6635557413101196","0.6630865931510925","0.6630865931510925","0.6630865931510925","0.45838281512260437","0.45838281512260437","0.45838281512260437","0.4594598710536957","0.4594598710536957","0.4594598710536957","0.6681408286094666","0.6681408286094666","0.6681408286094666","0.46342259645462036","0.46342259645462036","0.46342259645462036","0.6226182579994202","0.6226182579994202","0.6226182579994202","0.6281988024711609","0.6281988024711609","0.6281988024711609","0.618796169757843","0.618796169757843","0.618796169757843","0.6319287419319153","0.6319287419319153","0.6319287419319153","0.629427433013916","0.629427433013916","0.629427433013916","0.6242887377738953","0.6242887377738953","0.6242887377738953"
"160","0.6282268762588501","0.6282268762588501","0.6282268762588501","0.634002685546875","0.634002685546875","0.634002685546875","0.6277034282684326","0.6277034282684326","0.6277034282684326","0.6293302774429321","0.6293302774429321","0.6293302774429321","0.6210637092590332","0.6210637092590332","0.6210637092590332","0.46451452374458313","0.46451452374458313","0.46451452374458313","0.46055567264556885","0.46055567264556885","0.46055567264556885","0.4580124020576477","0.4580124020576477","0.4580124020576477","0.42947328090667725","0.42947328090667725","0.42947328090667725","0.4367736279964447","0.4367736279964447","0.4367736279964447","0.43624913692474365","0.43624913692474365","0.43624913692474365","0.6575578451156616","0.6575578451156616","0.6575578451156616","0.6662023067474365","0.6662023067474365","0.6662023067474365","0.661841094493866","0.661841094493866","0.661841094493866","0.4366872310638428","0.4366872310638428","0.4366872310638428","0.43759968876838684","0.43759968876838684","0.43759968876838684","0.6569278836250305","0.6569278836250305","0.6569278836250305","0.6618468761444092","0.6618468761444092","0.6618468761444092","0.45789849758148193","0.45789849758148193","0.45789849758148193","0.460509330034256","0.460509330034256","0.460509330034256","0.6668480038642883","0.6668480038642883","0.6668480038642883","0.4654451310634613","0.4654451310634613","0.4654451310634613","0.6289917230606079","0.6289917230606079","0.6289917230606079","0.6257826685905457","0.6257826685905457","0.6257826685905457","0.6200708746910095","0.6200708746910095","0.6200708746910095","0.6328750848770142","0.6328750848770142","0.6328750848770142","0.6283488273620605","0.6283488273620605","0.6283488273620605","0.628904402256012","0.628904402256012","0.628904402256012"
"240","0.6204797625541687","0.6204797625541687","0.6204797625541687","0.6290341019630432","0.6290341019630432","0.6290341019630432","0.6294254064559937","0.6294254064559937","0.6294254064559937","0.6293286085128784","0.6293286085128784","0.6293286085128784","0.6231249570846558","0.6231249570846558","0.6231249570846558","0.4629972577095032","0.4629972577095032","0.4629972577095032","0.46279221773147583","0.46279221773147583","0.46279221773147583","0.4566688537597656","0.4566688537597656","0.4566688537597656","0.4356170892715454","0.4356170892715454","0.4356170892715454","0.44231683015823364","0.44231683015823364","0.44231683015823364","0.43547195196151733","0.43547195196151733","0.43547195196151733","0.6571469306945801","0.6571469306945801","0.6571469306945801","0.6634237766265869","0.6634237766265869","0.6634237766265869","0.6630672216415405","0.6630672216415405","0.6630672216415405","0.43487802147865295","0.43487802147865295","0.43487802147865295","0.4410248100757599","0.4410248100757599","0.4410248100757599","0.6590078473091125","0.6590078473091125","0.6590078473091125","0.6631377339363098","0.6631377339363098","0.6631377339363098","0.45696723461151123","0.45696723461151123","0.45696723461151123","0.4618138372898102","0.4618138372898102","0.4618138372898102","0.6625208854675293","0.6625208854675293","0.6625208854675293","0.4609825611114502","0.4609825611114502","0.4609825611114502","0.6283427476882935","0.6283427476882935","0.6283427476882935","0.6261558532714844","0.6261558532714844","0.6261558532714844","0.6235790848731995","0.6235790848731995","0.6235790848731995","0.6287901401519775","0.6287901401519775","0.6287901401519775","0.630034327507019","0.630034327507019","0.630034327507019","0.620765745639801","0.620765745639801","0.620765745639801"
"320","0.6187771558761597","0.6187771558761597","0.6187771558761597","0.6324149966239929","0.6324149966239929","0.6324149966239929","0.629326581954956","0.629326581954956","0.629326581954956","0.6358915567398071","0.6358915567398071","0.6358915567398071","0.6233643889427185","0.6233643889427185","0.6233643889427185","0.4590400457382202","0.4590400457382202","0.4590400457382202","0.4644101858139038","0.4644101858139038","0.4644101858139038","0.4570947289466858","0.4570947289466858","0.4570947289466858","0.4377204477787018","0.4377204477787018","0.4377204477787018","0.4371304512023926","0.4371304512023926","0.4371304512023926","0.4314848482608795","0.4314848482608795","0.4314848482608795","0.6640076637268066","0.6640076637268066","0.6640076637268066","0.6620455384254456","0.6620455384254456","0.6620455384254456","0.6608365774154663","0.6608365774154663","0.6608365774154663","0.4316672682762146","0.4316672682762146","0.4316672682762146","0.4400625228881836","0.4400625228881836","0.4400625228881836","0.6623278260231018","0.6623278260231018","0.6623278260231018","0.6613926291465759","0.6613926291465759","0.6613926291465759","0.4572316110134125","0.4572316110134125","0.4572316110134125","0.46206116676330566","0.46206116676330566","0.46206116676330566","0.6631010174751282","0.6631010174751282","0.6631010174751282","0.46171683073043823","0.46171683073043823","0.46171683073043823","0.6276549100875854","0.6276549100875854","0.6276549100875854","0.6294354200363159","0.6294354200363159","0.6294354200363159","0.6219953894615173","0.6219953894615173","0.6219953894615173","0.6298121809959412","0.6298121809959412","0.6298121809959412","0.6299476623535156","0.6299476623535156","0.6299476623535156","0.6183920502662659","0.6183920502662659","0.6183920502662659"
"400","0.6261071562767029","0.6261071562767029","0.6261071562767029","0.6309020519256592","0.6309020519256592","0.6309020519256592","0.6305581331253052","0.6305581331253052","0.6305581331253052","0.6424732208251953","0.6424732208251953","0.6424732208251953","0.6225802302360535","0.6225802302360535","0.6225802302360535","0.46369853615760803","0.46369853615760803","0.46369853615760803","0.46263471245765686","0.46263471245765686","0.46263471245765686","0.45880457758903503","0.45880457758903503","0.45880457758903503","0.43972402811050415","0.43972402811050415","0.43972402811050415","0.4407064914703369","0.4407064914703369","0.4407064914703369","0.4339604377746582","0.4339604377746582","0.4339604377746582","0.6625762581825256","0.6625762581825256","0.6625762581825256","0.6640524864196777","0.6640524864196777","0.6640524864196777","0.6633334159851074","0.6633334159851074","0.6633334159851074","0.43248820304870605","0.43248820304870605","0.43248820304870605","0.4393990933895111","0.4393990933895111","0.4393990933895111","0.660748302936554","0.660748302936554","0.660748302936554","0.664433479309082","0.664433479309082","0.664433479309082","0.4591467082500458","0.4591467082500458","0.4591467082500458","0.46117502450942993","0.46117502450942993","0.46117502450942993","0.6655741333961487","0.6655741333961487","0.6655741333961487","0.4639934301376343","0.4639934301376343","0.4639934301376343","0.6266980767250061","0.6266980767250061","0.6266980767250061","0.6335863471031189","0.6335863471031189","0.6335863471031189","0.6222231388092041","0.6222231388092041","0.6222231388092041","0.6315017938613892","0.6315017938613892","0.6315017938613892","0.6303266286849976","0.6303266286849976","0.6303266286849976","0.6226183176040649","0.6226183176040649","0.6226183176040649"
"480","0.6278805136680603","0.6278805136680603","0.6278805136680603","0.630773663520813","0.630773663520813","0.630773663520813","0.6296138763427734","0.6296138763427734","0.6296138763427734","0.6370627284049988","0.6370627284049988","0.6370627284049988","0.6220650672912598","0.6220650672912598","0.6220650672912598","0.46543794870376587","0.46543794870376587","0.46543794870376587","0.4649741053581238","0.4649741053581238","0.4649741053581238","0.45942163467407227","0.45942163467407227","0.45942163467407227","0.43180954456329346","0.43180954456329346","0.43180954456329346","0.4415217936038971","0.4415217936038971","0.4415217936038971","0.43368208408355713","0.43368208408355713","0.43368208408355713","0.6580996513366699","0.6580996513366699","0.6580996513366699","0.6648730635643005","0.6648730635643005","0.6648730635643005","0.662334144115448","0.662334144115448","0.662334144115448","0.4320169985294342","0.4320169985294342","0.4320169985294342","0.44022929668426514","0.44022929668426514","0.44022929668426514","0.6573026776313782","0.6573026776313782","0.6573026776313782","0.6614677906036377","0.6614677906036377","0.6614677906036377","0.4591677486896515","0.4591677486896515","0.4591677486896515","0.46429920196533203","0.46429920196533203","0.46429920196533203","0.664818286895752","0.664818286895752","0.664818286895752","0.46247896552085876","0.46247896552085876","0.46247896552085876","0.6323837041854858","0.6323837041854858","0.6323837041854858","0.6312024593353271","0.6312024593353271","0.6312024593353271","0.6214228868484497","0.6214228868484497","0.6214228868484497","0.6319703459739685","0.6319703459739685","0.6319703459739685","0.6309435367584229","0.6309435367584229","0.6309435367584229","0.6231658458709717","0.6231658458709717","0.6231658458709717"
"560","0.6266719698905945","0.6266719698905945","0.6266719698905945","0.6329558491706848","0.6329558491706848","0.6329558491706848","0.6280214190483093","0.6280214190483093","0.6280214190483093","0.6410645842552185","0.6410645842552185","0.6410645842552185","0.6221936941146851","0.6221936941146851","0.6221936941146851","0.4651564955711365","0.4651564955711365","0.4651564955711365","0.4628739058971405","0.4628739058971405","0.4628739058971405","0.45965760946273804","0.45965760946273804","0.45965760946273804","0.4396268129348755","0.4396268129348755","0.4396268129348755","0.439635306596756","0.439635306596756","0.439635306596756","0.4358782470226288","0.4358782470226288","0.4358782470226288","0.6634289026260376","0.6634289026260376","0.6634289026260376","0.6696777939796448","0.6696777939796448","0.6696777939796448","0.6651946902275085","0.6651946902275085","0.6651946902275085","0.43328657746315","0.43328657746315","0.43328657746315","0.4395694136619568","0.4395694136619568","0.4395694136619568","0.6637043356895447","0.6637043356895447","0.6637043356895447","0.6635195016860962","0.6635195016860962","0.6635195016860962","0.4591200351715088","0.4591200351715088","0.4591200351715088","0.46366560459136963","0.46366560459136963","0.46366560459136963","0.6695645451545715","0.6695645451545715","0.6695645451545715","0.464199036359787","0.464199036359787","0.464199036359787","0.6278040409088135","0.6278040409088135","0.6278040409088135","0.6333068609237671","0.6333068609237671","0.6333068609237671","0.6221297383308411","0.6221297383308411","0.6221297383308411","0.6328622698783875","0.6328622698783875","0.6328622698783875","0.6299545764923096","0.6299545764923096","0.6299545764923096","0.6268640160560608","0.6268640160560608","0.6268640160560608"
"640","0.629440188407898","0.629440188407898","0.629440188407898","0.6282103061676025","0.6282103061676025","0.6282103061676025","0.6276578903198242","0.6276578903198242","0.6276578903198242","0.6394982933998108","0.6394982933998108","0.6394982933998108","0.6246748566627502","0.6246748566627502","0.6246748566627502","0.47022080421447754","0.47022080421447754","0.47022080421447754","0.4647148847579956","0.4647148847579956","0.4647148847579956","0.46197065711021423","0.46197065711021423","0.46197065711021423","0.43725961446762085","0.43725961446762085","0.43725961446762085","0.43688249588012695","0.43688249588012695","0.43688249588012695","0.4365660548210144","0.4365660548210144","0.4365660548210144","0.6573936939239502","0.6573936939239502","0.6573936939239502","0.6622916460037231","0.6622916460037231","0.6622916460037231","0.6637547612190247","0.6637547612190247","0.6637547612190247","0.43507620692253113","0.43507620692253113","0.43507620692253113","0.43563947081565857","0.43563947081565857","0.43563947081565857","0.6591776609420776","0.6591776609420776","0.6591776609420776","0.6616400480270386","0.6616400480270386","0.6616400480270386","0.46091365814208984","0.46091365814208984","0.46091365814208984","0.4637357294559479","0.4637357294559479","0.4637357294559479","0.6641602516174316","0.6641602516174316","0.6641602516174316","0.469769686460495","0.469769686460495","0.469769686460495","0.6304112672805786","0.6304112672805786","0.6304112672805786","0.6327660083770752","0.6327660083770752","0.6327660083770752","0.6244061589241028","0.6244061589241028","0.6244061589241028","0.6281710863113403","0.6281710863113403","0.6281710863113403","0.6286168098449707","0.6286168098449707","0.6286168098449707","0.6257704496383667","0.6257704496383667","0.6257704496383667"
"720","0.6250498294830322","0.6250498294830322","0.6250498294830322","0.6317668557167053","0.6317668557167053","0.6317668557167053","0.6301722526550293","0.6301722526550293","0.6301722526550293","0.6349563002586365","0.6349563002586365","0.6349563002586365","0.6235984563827515","0.6235984563827515","0.6235984563827515","0.4646744728088379","0.4646744728088379","0.4646744728088379","0.4649064838886261","0.4649064838886261","0.4649064838886261","0.45933303236961365","0.45933303236961365","0.45933303236961365","0.4398830533027649","0.4398830533027649","0.4398830533027649","0.44592899084091187","0.44592899084091187","0.44592899084091187","0.4362066090106964","0.4362066090106964","0.4362066090106964","0.6553246974945068","0.6553246974945068","0.6553246974945068","0.6683832406997681","0.6683832406997681","0.6683832406997681","0.6659901738166809","0.6659901738166809","0.6659901738166809","0.43443408608436584","0.43443408608436584","0.43443408608436584","0.4434255361557007","0.4434255361557007","0.4434255361557007","0.6564778089523315","0.6564778089523315","0.6564778089523315","0.6644979119300842","0.6644979119300842","0.6644979119300842","0.45825955271720886","0.45825955271720886","0.45825955271720886","0.4635583162307739","0.4635583162307739","0.4635583162307739","0.6680356860160828","0.6680356860160828","0.6680356860160828","0.46355023980140686","0.46355023980140686","0.46355023980140686","0.63069748878479","0.63069748878479","0.63069748878479","0.6286159157752991","0.6286159157752991","0.6286159157752991","0.6211740374565125","0.6211740374565125","0.6211740374565125","0.6310927271842957","0.6310927271842957","0.6310927271842957","0.6313167810440063","0.6313167810440063","0.6313167810440063","0.6233752965927124","0.6233752965927124","0.6233752965927124"
"800","0.6224971413612366","0.6224971413612366","0.6224971413612366","0.630965530872345","0.630965530872345","0.630965530872345","0.6289005875587463","0.6289005875587463","0.6289005875587463","0.6438185572624207","0.6438185572624207","0.6438185572624207","0.624742865562439","0.624742865562439","0.624742865562439","0.4665469229221344","0.4665469229221344","0.4665469229221344","0.464842826128006","0.464842826128006","0.464842826128006","0.45963966846466064","0.45963966846466064","0.45963966846466064","0.4481448829174042","0.4481448829174042","0.4481448829174042","0.44108596444129944","0.44108596444129944","0.44108596444129944","0.4357589781284332","0.4357589781284332","0.4357589781284332","0.6638574004173279","0.6638574004173279","0.6638574004173279","0.6699932813644409","0.6699932813644409","0.6699932813644409","0.6642130613327026","0.6642130613327026","0.6642130613327026","0.4344954192638397","0.4344954192638397","0.4344954192638397","0.43794214725494385","0.43794214725494385","0.43794214725494385","0.6634975075721741","0.6634975075721741","0.6634975075721741","0.6633763313293457","0.6633763313293457","0.6633763313293457","0.4588399827480316","0.4588399827480316","0.4588399827480316","0.4635505676269531","0.4635505676269531","0.4635505676269531","0.6669903993606567","0.6669903993606567","0.6669903993606567","0.4641225337982178","0.4641225337982178","0.4641225337982178","0.6328153014183044","0.6328153014183044","0.6328153014183044","0.6373823881149292","0.6373823881149292","0.6373823881149292","0.6228519678115845","0.6228519678115845","0.6228519678115845","0.6308748722076416","0.6308748722076416","0.6308748722076416","0.6300668120384216","0.6300668120384216","0.6300668120384216","0.6212283372879028","0.6212283372879028","0.6212283372879028"
