"Step","12139546_240930_003147S30_UN4_CN4 - val_psnr","12139546_240930_003147S30_UN4_CN4 - val_psnr__MIN","12139546_240930_003147S30_UN4_CN4 - val_psnr__MAX","12139541_240930_002145S20_UN4_CN4 - val_psnr","12139541_240930_002145S20_UN4_CN4 - val_psnr__MIN","12139541_240930_002145S20_UN4_CN4 - val_psnr__MAX","12139540_240930_001906S10_UN4_CN4 - val_psnr","12139540_240930_001906S10_UN4_CN4 - val_psnr__MIN","12139540_240930_001906S10_UN4_CN4 - val_psnr__MAX","12139536_240930_001525S30_UN4_CN4 - val_psnr","12139536_240930_001525S30_UN4_CN4 - val_psnr__MIN","12139536_240930_001525S30_UN4_CN4 - val_psnr__MAX","12139535_240930_000850S20_UN4_CN4 - val_psnr","12139535_240930_000850S20_UN4_CN4 - val_psnr__MIN","12139535_240930_000850S20_UN4_CN4 - val_psnr__MAX","12139532_240930_000449S10_UN4_CN4 - val_psnr","12139532_240930_000449S10_UN4_CN4 - val_psnr__MIN","12139532_240930_000449S10_UN4_CN4 - val_psnr__MAX","12139528_240929_235208S30_UN4_CN4 - val_psnr","12139528_240929_235208S30_UN4_CN4 - val_psnr__MIN","12139528_240929_235208S30_UN4_CN4 - val_psnr__MAX","12139525_240929_232947S20_UN4_CN4 - val_psnr","12139525_240929_232947S20_UN4_CN4 - val_psnr__MIN","12139525_240929_232947S20_UN4_CN4 - val_psnr__MAX","12139524_240929_232850S10_UN4_CN4 - val_psnr","12139524_240929_232850S10_UN4_CN4 - val_psnr__MIN","12139524_240929_232850S10_UN4_CN4 - val_psnr__MAX","12139520_240929_232302S30_UN4_CN4 - val_psnr","12139520_240929_232302S30_UN4_CN4 - val_psnr__MIN","12139520_240929_232302S30_UN4_CN4 - val_psnr__MAX","12139519_240929_232250S20_UN4_CN4 - val_psnr","12139519_240929_232250S20_UN4_CN4 - val_psnr__MIN","12139519_240929_232250S20_UN4_CN4 - val_psnr__MAX","12139518_240929_232231S10_UN4_CN4 - val_psnr","12139518_240929_232231S10_UN4_CN4 - val_psnr__MIN","12139518_240929_232231S10_UN4_CN4 - val_psnr__MAX","12139514_240929_232129S30_UN4_CN4 - val_psnr","12139514_240929_232129S30_UN4_CN4 - val_psnr__MIN","12139514_240929_232129S30_UN4_CN4 - val_psnr__MAX","12139512_240929_232056S10_UN4_CN4 - val_psnr","12139512_240929_232056S10_UN4_CN4 - val_psnr__MIN","12139512_240929_232056S10_UN4_CN4 - val_psnr__MAX","12139513_240929_232052S20_UN4_CN4 - val_psnr","12139513_240929_232052S20_UN4_CN4 - val_psnr__MIN","12139513_240929_232052S20_UN4_CN4 - val_psnr__MAX","12139488_240929_231736S10_UN4 - val_psnr","12139488_240929_231736S10_UN4 - val_psnr__MIN","12139488_240929_231736S10_UN4 - val_psnr__MAX","12139495_240929_231734S20_UN4 - val_psnr","12139495_240929_231734S20_UN4 - val_psnr__MIN","12139495_240929_231734S20_UN4 - val_psnr__MAX","12139501_240929_231732S20_UN4 - val_psnr","12139501_240929_231732S20_UN4 - val_psnr__MIN","12139501_240929_231732S20_UN4 - val_psnr__MAX","12139490_240929_231736S30_UN4 - val_psnr","12139490_240929_231736S30_UN4 - val_psnr__MIN","12139490_240929_231736S30_UN4 - val_psnr__MAX","12139502_240929_231732S30_UN4 - val_psnr","12139502_240929_231732S30_UN4 - val_psnr__MIN","12139502_240929_231732S30_UN4 - val_psnr__MAX","12139500_240929_231732S10_UN4 - val_psnr","12139500_240929_231732S10_UN4 - val_psnr__MIN","12139500_240929_231732S10_UN4 - val_psnr__MAX","12139489_240929_231736S20_UN4 - val_psnr","12139489_240929_231736S20_UN4 - val_psnr__MIN","12139489_240929_231736S20_UN4 - val_psnr__MAX","12139496_240929_231736S30_UN4 - val_psnr","12139496_240929_231736S30_UN4 - val_psnr__MIN","12139496_240929_231736S30_UN4 - val_psnr__MAX","12139483_240929_231732S20_UN4 - val_psnr","12139483_240929_231732S20_UN4 - val_psnr__MIN","12139483_240929_231732S20_UN4 - val_psnr__MAX","12139484_240929_231732S30_UN4 - val_psnr","12139484_240929_231732S30_UN4 - val_psnr__MIN","12139484_240929_231732S30_UN4 - val_psnr__MAX","12139494_240929_231730S10_UN4 - val_psnr","12139494_240929_231730S10_UN4 - val_psnr__MIN","12139494_240929_231730S10_UN4 - val_psnr__MAX","12139482_240929_231728S10_UN4 - val_psnr","12139482_240929_231728S10_UN4 - val_psnr__MIN","12139482_240929_231728S10_UN4 - val_psnr__MAX","12139506_240929_231707S10_UN4 - val_psnr","12139506_240929_231707S10_UN4 - val_psnr__MIN","12139506_240929_231707S10_UN4 - val_psnr__MAX","12139508_240929_231705S30_UN4 - val_psnr","12139508_240929_231705S30_UN4 - val_psnr__MIN","12139508_240929_231705S30_UN4 - val_psnr__MAX","12139507_240929_231705S20_UN4 - val_psnr","12139507_240929_231705S20_UN4 - val_psnr__MIN","12139507_240929_231705S20_UN4 - val_psnr__MAX"
"80","20.86850929260254","20.86850929260254","20.86850929260254","21.766902923583984","21.766902923583984","21.766902923583984","23.295122146606445","23.295122146606445","23.295122146606445","22.261333465576172","22.261333465576172","22.261333465576172","23.076120376586914","23.076120376586914","23.076120376586914","24.36128807067871","24.36128807067871","24.36128807067871","22.40349006652832","22.40349006652832","22.40349006652832","23.652233123779297","23.652233123779297","23.652233123779297","25.52293586730957","25.52293586730957","25.52293586730957","20.390884399414062","20.390884399414062","20.390884399414062","21.362987518310547","21.362987518310547","21.362987518310547","22.92298698425293","22.92298698425293","22.92298698425293","21.141986846923828","21.141986846923828","21.141986846923828","23.469491958618164","23.469491958618164","23.469491958618164","22.0760555267334","22.0760555267334","22.0760555267334","22.83328628540039","22.83328628540039","22.83328628540039","23.542308807373047","23.542308807373047","23.542308807373047","22.97753143310547","22.97753143310547","22.97753143310547","20.224824905395508","20.224824905395508","20.224824905395508","22.20794105529785","22.20794105529785","22.20794105529785","24.328582763671875","24.328582763671875","24.328582763671875","21.244373321533203","21.244373321533203","21.244373321533203","22.25569725036621","22.25569725036621","22.25569725036621","22.00088119506836","22.00088119506836","22.00088119506836","21.01138687133789","21.01138687133789","21.01138687133789","25.440467834472656","25.440467834472656","25.440467834472656","23.43438720703125","23.43438720703125","23.43438720703125","23.264530181884766","23.264530181884766","23.264530181884766","20.771221160888672","20.771221160888672","20.771221160888672","21.72829818725586","21.72829818725586","21.72829818725586"
"160","20.886789321899414","20.886789321899414","20.886789321899414","22.09314727783203","22.09314727783203","22.09314727783203","23.42137336730957","23.42137336730957","23.42137336730957","22.56003761291504","22.56003761291504","22.56003761291504","23.288818359375","23.288818359375","23.288818359375","24.50369644165039","24.50369644165039","24.50369644165039","22.59439468383789","22.59439468383789","22.59439468383789","23.88823699951172","23.88823699951172","23.88823699951172","25.6436710357666","25.6436710357666","25.6436710357666","20.527402877807617","20.527402877807617","20.527402877807617","21.643863677978516","21.643863677978516","21.643863677978516","23.0341854095459","23.0341854095459","23.0341854095459","21.180622100830078","21.180622100830078","21.180622100830078","23.553194046020508","23.553194046020508","23.553194046020508","22.139415740966797","22.139415740966797","22.139415740966797","22.9176082611084","22.9176082611084","22.9176082611084","23.70039939880371","23.70039939880371","23.70039939880371","23.10184669494629","23.10184669494629","23.10184669494629","20.27669906616211","20.27669906616211","20.27669906616211","22.374574661254883","22.374574661254883","22.374574661254883","24.41801643371582","24.41801643371582","24.41801643371582","21.441804885864258","21.441804885864258","21.441804885864258","22.351116180419922","22.351116180419922","22.351116180419922","22.06689453125","22.06689453125","22.06689453125","21.09815788269043","21.09815788269043","21.09815788269043","25.486541748046875","25.486541748046875","25.486541748046875","23.476272583007812","23.476272583007812","23.476272583007812","23.33272933959961","23.33272933959961","23.33272933959961","20.80157470703125","20.80157470703125","20.80157470703125","21.936885833740234","21.936885833740234","21.936885833740234"
"240","21.24545669555664","21.24545669555664","21.24545669555664","22.20132827758789","22.20132827758789","22.20132827758789","23.494619369506836","23.494619369506836","23.494619369506836","22.520606994628906","22.520606994628906","22.520606994628906","23.31808853149414","23.31808853149414","23.31808853149414","24.54349136352539","24.54349136352539","24.54349136352539","22.850927352905273","22.850927352905273","22.850927352905273","24.110570907592773","24.110570907592773","24.110570907592773","25.718908309936523","25.718908309936523","25.718908309936523","20.733612060546875","20.733612060546875","20.733612060546875","21.698726654052734","21.698726654052734","21.698726654052734","23.108917236328125","23.108917236328125","23.108917236328125","21.3536434173584","21.3536434173584","21.3536434173584","23.620954513549805","23.620954513549805","23.620954513549805","22.3609676361084","22.3609676361084","22.3609676361084","22.95138168334961","22.95138168334961","22.95138168334961","23.839733123779297","23.839733123779297","23.839733123779297","23.07221794128418","23.07221794128418","23.07221794128418","20.432430267333984","20.432430267333984","20.432430267333984","22.347043991088867","22.347043991088867","22.347043991088867","24.425756454467773","24.425756454467773","24.425756454467773","21.424049377441406","21.424049377441406","21.424049377441406","22.459613800048828","22.459613800048828","22.459613800048828","22.147939682006836","22.147939682006836","22.147939682006836","21.169984817504883","21.169984817504883","21.169984817504883","25.532001495361328","25.532001495361328","25.532001495361328","23.525333404541016","23.525333404541016","23.525333404541016","23.365123748779297","23.365123748779297","23.365123748779297","20.946861267089844","20.946861267089844","20.946861267089844","21.933786392211914","21.933786392211914","21.933786392211914"
"320","21.267765045166016","21.267765045166016","21.267765045166016","22.247066497802734","22.247066497802734","22.247066497802734","23.567371368408203","23.567371368408203","23.567371368408203","22.654932022094727","22.654932022094727","22.654932022094727","23.478395462036133","23.478395462036133","23.478395462036133","24.603343963623047","24.603343963623047","24.603343963623047","23.05926513671875","23.05926513671875","23.05926513671875","24.134174346923828","24.134174346923828","24.134174346923828","25.82663345336914","25.82663345336914","25.82663345336914","20.757261276245117","20.757261276245117","20.757261276245117","21.790042877197266","21.790042877197266","21.790042877197266","23.220592498779297","23.220592498779297","23.220592498779297","21.442611694335938","21.442611694335938","21.442611694335938","23.652706146240234","23.652706146240234","23.652706146240234","22.416385650634766","22.416385650634766","22.416385650634766","23.00912857055664","23.00912857055664","23.00912857055664","23.815689086914062","23.815689086914062","23.815689086914062","23.17047691345215","23.17047691345215","23.17047691345215","20.458572387695312","20.458572387695312","20.458572387695312","22.41159439086914","22.41159439086914","22.41159439086914","24.45450782775879","24.45450782775879","24.45450782775879","21.518096923828125","21.518096923828125","21.518096923828125","22.680437088012695","22.680437088012695","22.680437088012695","22.16739273071289","22.16739273071289","22.16739273071289","21.152441024780273","21.152441024780273","21.152441024780273","25.581645965576172","25.581645965576172","25.581645965576172","23.513376235961914","23.513376235961914","23.513376235961914","23.384510040283203","23.384510040283203","23.384510040283203","20.959753036499023","20.959753036499023","20.959753036499023","21.989652633666992","21.989652633666992","21.989652633666992"
"400","21.467945098876953","21.467945098876953","21.467945098876953","22.485008239746094","22.485008239746094","22.485008239746094","23.57280158996582","23.57280158996582","23.57280158996582","22.797100067138672","22.797100067138672","22.797100067138672","23.55816650390625","23.55816650390625","23.55816650390625","24.67725944519043","24.67725944519043","24.67725944519043","23.178295135498047","23.178295135498047","23.178295135498047","24.24460220336914","24.24460220336914","24.24460220336914","25.843231201171875","25.843231201171875","25.843231201171875","21.02448844909668","21.02448844909668","21.02448844909668","21.890575408935547","21.890575408935547","21.890575408935547","23.274368286132812","23.274368286132812","23.274368286132812","21.673742294311523","21.673742294311523","21.673742294311523","23.695186614990234","23.695186614990234","23.695186614990234","22.516265869140625","22.516265869140625","22.516265869140625","23.06023597717285","23.06023597717285","23.06023597717285","23.87337303161621","23.87337303161621","23.87337303161621","23.247028350830078","23.247028350830078","23.247028350830078","20.58432960510254","20.58432960510254","20.58432960510254","22.50631332397461","22.50631332397461","22.50631332397461","24.480958938598633","24.480958938598633","24.480958938598633","21.534149169921875","21.534149169921875","21.534149169921875","22.57012367248535","22.57012367248535","22.57012367248535","22.169498443603516","22.169498443603516","22.169498443603516","21.236225128173828","21.236225128173828","21.236225128173828","25.618484497070312","25.618484497070312","25.618484497070312","23.536293029785156","23.536293029785156","23.536293029785156","23.383731842041016","23.383731842041016","23.383731842041016","21.06954574584961","21.06954574584961","21.06954574584961","22.07659912109375","22.07659912109375","22.07659912109375"
"480","21.712221145629883","21.712221145629883","21.712221145629883","22.51144027709961","22.51144027709961","22.51144027709961","23.70621109008789","23.70621109008789","23.70621109008789","22.865617752075195","22.865617752075195","22.865617752075195","23.639936447143555","23.639936447143555","23.639936447143555","24.724470138549805","24.724470138549805","24.724470138549805","23.440561294555664","23.440561294555664","23.440561294555664","24.471309661865234","24.471309661865234","24.471309661865234","25.884252548217773","25.884252548217773","25.884252548217773","21.096158981323242","21.096158981323242","21.096158981323242","22.00885581970215","22.00885581970215","22.00885581970215","23.270864486694336","23.270864486694336","23.270864486694336","21.683298110961914","21.683298110961914","21.683298110961914","23.73897933959961","23.73897933959961","23.73897933959961","22.628902435302734","22.628902435302734","22.628902435302734","23.033124923706055","23.033124923706055","23.033124923706055","23.97509765625","23.97509765625","23.97509765625","23.268108367919922","23.268108367919922","23.268108367919922","20.597824096679688","20.597824096679688","20.597824096679688","22.471702575683594","22.471702575683594","22.471702575683594","24.5072078704834","24.5072078704834","24.5072078704834","21.674320220947266","21.674320220947266","21.674320220947266","22.786924362182617","22.786924362182617","22.786924362182617","22.25544548034668","22.25544548034668","22.25544548034668","21.327861785888672","21.327861785888672","21.327861785888672","25.567346572875977","25.567346572875977","25.567346572875977","23.541675567626953","23.541675567626953","23.541675567626953","23.429861068725586","23.429861068725586","23.429861068725586","21.197330474853516","21.197330474853516","21.197330474853516","22.112018585205078","22.112018585205078","22.112018585205078"
"560","21.730701446533203","21.730701446533203","21.730701446533203","22.668598175048828","22.668598175048828","22.668598175048828","23.749374389648438","23.749374389648438","23.749374389648438","22.998821258544922","22.998821258544922","22.998821258544922","23.7144718170166","23.7144718170166","23.7144718170166","24.786327362060547","24.786327362060547","24.786327362060547","23.497209548950195","23.497209548950195","23.497209548950195","24.481929779052734","24.481929779052734","24.481929779052734","26.024578094482422","26.024578094482422","26.024578094482422","21.211929321289062","21.211929321289062","21.211929321289062","22.009254455566406","22.009254455566406","22.009254455566406","23.344247817993164","23.344247817993164","23.344247817993164","21.94122314453125","21.94122314453125","21.94122314453125","23.80742073059082","23.80742073059082","23.80742073059082","22.645544052124023","22.645544052124023","22.645544052124023","23.044496536254883","23.044496536254883","23.044496536254883","23.964120864868164","23.964120864868164","23.964120864868164","23.294029235839844","23.294029235839844","23.294029235839844","20.66646957397461","20.66646957397461","20.66646957397461","22.627605438232422","22.627605438232422","22.627605438232422","24.539785385131836","24.539785385131836","24.539785385131836","21.605670928955078","21.605670928955078","21.605670928955078","22.9046688079834","22.9046688079834","22.9046688079834","22.27718734741211","22.27718734741211","22.27718734741211","21.468807220458984","21.468807220458984","21.468807220458984","25.663005828857422","25.663005828857422","25.663005828857422","23.59383773803711","23.59383773803711","23.59383773803711","23.460744857788086","23.460744857788086","23.460744857788086","21.225732803344727","21.225732803344727","21.225732803344727","22.191734313964844","22.191734313964844","22.191734313964844"
"640","21.893709182739258","21.893709182739258","21.893709182739258","22.686267852783203","22.686267852783203","22.686267852783203","23.836374282836914","23.836374282836914","23.836374282836914","23.085765838623047","23.085765838623047","23.085765838623047","23.750980377197266","23.750980377197266","23.750980377197266","24.786706924438477","24.786706924438477","24.786706924438477","23.648359298706055","23.648359298706055","23.648359298706055","24.521133422851562","24.521133422851562","24.521133422851562","26.043685913085938","26.043685913085938","26.043685913085938","21.119001388549805","21.119001388549805","21.119001388549805","22.150619506835938","22.150619506835938","22.150619506835938","23.414691925048828","23.414691925048828","23.414691925048828","21.856645584106445","21.856645584106445","21.856645584106445","23.870460510253906","23.870460510253906","23.870460510253906","22.740543365478516","22.740543365478516","22.740543365478516","23.114368438720703","23.114368438720703","23.114368438720703","24.064708709716797","24.064708709716797","24.064708709716797","23.3060245513916","23.3060245513916","23.3060245513916","20.628803253173828","20.628803253173828","20.628803253173828","22.587413787841797","22.587413787841797","22.587413787841797","24.544292449951172","24.544292449951172","24.544292449951172","21.693098068237305","21.693098068237305","21.693098068237305","22.95607566833496","22.95607566833496","22.95607566833496","22.348926544189453","22.348926544189453","22.348926544189453","21.40290641784668","21.40290641784668","21.40290641784668","25.68337631225586","25.68337631225586","25.68337631225586","23.643844604492188","23.643844604492188","23.643844604492188","23.50656509399414","23.50656509399414","23.50656509399414","21.2618465423584","21.2618465423584","21.2618465423584","22.213947296142578","22.213947296142578","22.213947296142578"
"720","21.92215919494629","21.92215919494629","21.92215919494629","22.646509170532227","22.646509170532227","22.646509170532227","23.86865234375","23.86865234375","23.86865234375","23.07241439819336","23.07241439819336","23.07241439819336","23.78268051147461","23.78268051147461","23.78268051147461","24.82963752746582","24.82963752746582","24.82963752746582","23.626216888427734","23.626216888427734","23.626216888427734","24.651384353637695","24.651384353637695","24.651384353637695","26.074304580688477","26.074304580688477","26.074304580688477","21.253137588500977","21.253137588500977","21.253137588500977","22.15560531616211","22.15560531616211","22.15560531616211","23.434720993041992","23.434720993041992","23.434720993041992","21.949647903442383","21.949647903442383","21.949647903442383","23.84364128112793","23.84364128112793","23.84364128112793","22.823265075683594","22.823265075683594","22.823265075683594","23.141658782958984","23.141658782958984","23.141658782958984","24.013813018798828","24.013813018798828","24.013813018798828","23.298980712890625","23.298980712890625","23.298980712890625","20.813846588134766","20.813846588134766","20.813846588134766","22.664344787597656","22.664344787597656","22.664344787597656","24.545928955078125","24.545928955078125","24.545928955078125","21.70278549194336","21.70278549194336","21.70278549194336","22.96124267578125","22.96124267578125","22.96124267578125","22.33517074584961","22.33517074584961","22.33517074584961","21.438034057617188","21.438034057617188","21.438034057617188","25.679977416992188","25.679977416992188","25.679977416992188","23.60801887512207","23.60801887512207","23.60801887512207","23.513866424560547","23.513866424560547","23.513866424560547","21.344425201416016","21.344425201416016","21.344425201416016","22.184242248535156","22.184242248535156","22.184242248535156"
"800","21.994184494018555","21.994184494018555","21.994184494018555","22.796733856201172","22.796733856201172","22.796733856201172","23.878271102905273","23.878271102905273","23.878271102905273","23.163677215576172","23.163677215576172","23.163677215576172","23.89687728881836","23.89687728881836","23.89687728881836","24.862503051757812","24.862503051757812","24.862503051757812","23.769725799560547","23.769725799560547","23.769725799560547","24.75067710876465","24.75067710876465","24.75067710876465","26.234981536865234","26.234981536865234","26.234981536865234","21.308643341064453","21.308643341064453","21.308643341064453","22.299707412719727","22.299707412719727","22.299707412719727","23.45567512512207","23.45567512512207","23.45567512512207","22.165782928466797","22.165782928466797","22.165782928466797","23.960285186767578","23.960285186767578","23.960285186767578","22.906723022460938","22.906723022460938","22.906723022460938","23.145963668823242","23.145963668823242","23.145963668823242","24.167184829711914","24.167184829711914","24.167184829711914","23.436912536621094","23.436912536621094","23.436912536621094","20.74603271484375","20.74603271484375","20.74603271484375","22.698965072631836","22.698965072631836","22.698965072631836","24.573711395263672","24.573711395263672","24.573711395263672","21.800424575805664","21.800424575805664","21.800424575805664","23.029132843017578","23.029132843017578","23.029132843017578","22.44886589050293","22.44886589050293","22.44886589050293","21.666461944580078","21.666461944580078","21.666461944580078","25.76827621459961","25.76827621459961","25.76827621459961","23.658363342285156","23.658363342285156","23.658363342285156","23.523265838623047","23.523265838623047","23.523265838623047","21.382827758789062","21.382827758789062","21.382827758789062","22.312969207763672","22.312969207763672","22.312969207763672"
