"Step","12139546_240930_003147S30_UN4_CN4 - val_val_ref_psnr","12139546_240930_003147S30_UN4_CN4 - val_val_ref_psnr__MIN","12139546_240930_003147S30_UN4_CN4 - val_val_ref_psnr__MAX","12139541_240930_002145S20_UN4_CN4 - val_val_ref_psnr","12139541_240930_002145S20_UN4_CN4 - val_val_ref_psnr__MIN","12139541_240930_002145S20_UN4_CN4 - val_val_ref_psnr__MAX","12139540_240930_001906S10_UN4_CN4 - val_val_ref_psnr","12139540_240930_001906S10_UN4_CN4 - val_val_ref_psnr__MIN","12139540_240930_001906S10_UN4_CN4 - val_val_ref_psnr__MAX","12139536_240930_001525S30_UN4_CN4 - val_val_ref_psnr","12139536_240930_001525S30_UN4_CN4 - val_val_ref_psnr__MIN","12139536_240930_001525S30_UN4_CN4 - val_val_ref_psnr__MAX","12139535_240930_000850S20_UN4_CN4 - val_val_ref_psnr","12139535_240930_000850S20_UN4_CN4 - val_val_ref_psnr__MIN","12139535_240930_000850S20_UN4_CN4 - val_val_ref_psnr__MAX","12139532_240930_000449S10_UN4_CN4 - val_val_ref_psnr","12139532_240930_000449S10_UN4_CN4 - val_val_ref_psnr__MIN","12139532_240930_000449S10_UN4_CN4 - val_val_ref_psnr__MAX","12139528_240929_235208S30_UN4_CN4 - val_val_ref_psnr","12139528_240929_235208S30_UN4_CN4 - val_val_ref_psnr__MIN","12139528_240929_235208S30_UN4_CN4 - val_val_ref_psnr__MAX","12139525_240929_232947S20_UN4_CN4 - val_val_ref_psnr","12139525_240929_232947S20_UN4_CN4 - val_val_ref_psnr__MIN","12139525_240929_232947S20_UN4_CN4 - val_val_ref_psnr__MAX","12139524_240929_232850S10_UN4_CN4 - val_val_ref_psnr","12139524_240929_232850S10_UN4_CN4 - val_val_ref_psnr__MIN","12139524_240929_232850S10_UN4_CN4 - val_val_ref_psnr__MAX","12139520_240929_232302S30_UN4_CN4 - val_val_ref_psnr","12139520_240929_232302S30_UN4_CN4 - val_val_ref_psnr__MIN","12139520_240929_232302S30_UN4_CN4 - val_val_ref_psnr__MAX","12139519_240929_232250S20_UN4_CN4 - val_val_ref_psnr","12139519_240929_232250S20_UN4_CN4 - val_val_ref_psnr__MIN","12139519_240929_232250S20_UN4_CN4 - val_val_ref_psnr__MAX","12139518_240929_232231S10_UN4_CN4 - val_val_ref_psnr","12139518_240929_232231S10_UN4_CN4 - val_val_ref_psnr__MIN","12139518_240929_232231S10_UN4_CN4 - val_val_ref_psnr__MAX","12139514_240929_232129S30_UN4_CN4 - val_val_ref_psnr","12139514_240929_232129S30_UN4_CN4 - val_val_ref_psnr__MIN","12139514_240929_232129S30_UN4_CN4 - val_val_ref_psnr__MAX","12139512_240929_232056S10_UN4_CN4 - val_val_ref_psnr","12139512_240929_232056S10_UN4_CN4 - val_val_ref_psnr__MIN","12139512_240929_232056S10_UN4_CN4 - val_val_ref_psnr__MAX","12139513_240929_232052S20_UN4_CN4 - val_val_ref_psnr","12139513_240929_232052S20_UN4_CN4 - val_val_ref_psnr__MIN","12139513_240929_232052S20_UN4_CN4 - val_val_ref_psnr__MAX","12139488_240929_231736S10_UN4 - val_val_ref_psnr","12139488_240929_231736S10_UN4 - val_val_ref_psnr__MIN","12139488_240929_231736S10_UN4 - val_val_ref_psnr__MAX","12139495_240929_231734S20_UN4 - val_val_ref_psnr","12139495_240929_231734S20_UN4 - val_val_ref_psnr__MIN","12139495_240929_231734S20_UN4 - val_val_ref_psnr__MAX","12139501_240929_231732S20_UN4 - val_val_ref_psnr","12139501_240929_231732S20_UN4 - val_val_ref_psnr__MIN","12139501_240929_231732S20_UN4 - val_val_ref_psnr__MAX","12139490_240929_231736S30_UN4 - val_val_ref_psnr","12139490_240929_231736S30_UN4 - val_val_ref_psnr__MIN","12139490_240929_231736S30_UN4 - val_val_ref_psnr__MAX","12139502_240929_231732S30_UN4 - val_val_ref_psnr","12139502_240929_231732S30_UN4 - val_val_ref_psnr__MIN","12139502_240929_231732S30_UN4 - val_val_ref_psnr__MAX","12139500_240929_231732S10_UN4 - val_val_ref_psnr","12139500_240929_231732S10_UN4 - val_val_ref_psnr__MIN","12139500_240929_231732S10_UN4 - val_val_ref_psnr__MAX","12139489_240929_231736S20_UN4 - val_val_ref_psnr","12139489_240929_231736S20_UN4 - val_val_ref_psnr__MIN","12139489_240929_231736S20_UN4 - val_val_ref_psnr__MAX","12139496_240929_231736S30_UN4 - val_val_ref_psnr","12139496_240929_231736S30_UN4 - val_val_ref_psnr__MIN","12139496_240929_231736S30_UN4 - val_val_ref_psnr__MAX","12139483_240929_231732S20_UN4 - val_val_ref_psnr","12139483_240929_231732S20_UN4 - val_val_ref_psnr__MIN","12139483_240929_231732S20_UN4 - val_val_ref_psnr__MAX","12139484_240929_231732S30_UN4 - val_val_ref_psnr","12139484_240929_231732S30_UN4 - val_val_ref_psnr__MIN","12139484_240929_231732S30_UN4 - val_val_ref_psnr__MAX","12139494_240929_231730S10_UN4 - val_val_ref_psnr","12139494_240929_231730S10_UN4 - val_val_ref_psnr__MIN","12139494_240929_231730S10_UN4 - val_val_ref_psnr__MAX","12139482_240929_231728S10_UN4 - val_val_ref_psnr","12139482_240929_231728S10_UN4 - val_val_ref_psnr__MIN","12139482_240929_231728S10_UN4 - val_val_ref_psnr__MAX","12139506_240929_231707S10_UN4 - val_val_ref_psnr","12139506_240929_231707S10_UN4 - val_val_ref_psnr__MIN","12139506_240929_231707S10_UN4 - val_val_ref_psnr__MAX","12139508_240929_231705S30_UN4 - val_val_ref_psnr","12139508_240929_231705S30_UN4 - val_val_ref_psnr__MIN","12139508_240929_231705S30_UN4 - val_val_ref_psnr__MAX","12139507_240929_231705S20_UN4 - val_val_ref_psnr","12139507_240929_231705S20_UN4 - val_val_ref_psnr__MIN","12139507_240929_231705S20_UN4 - val_val_ref_psnr__MAX"
"80","18.056501388549805","18.056501388549805","18.056501388549805","18.12965965270996","18.12965965270996","18.12965965270996","18.26376724243164","18.26376724243164","18.26376724243164","20.124887466430664","20.124887466430664","20.124887466430664","20.186214447021484","20.186214447021484","20.186214447021484","20.292993545532227","20.292993545532227","20.292993545532227","18.225393295288086","18.225393295288086","18.225393295288086","18.18964385986328","18.18964385986328","18.18964385986328","18.21750831604004","18.21750831604004","18.21750831604004","16.876052856445312","16.876052856445312","16.876052856445312","17.006031036376953","17.006031036376953","17.006031036376953","16.97663116455078","16.97663116455078","16.97663116455078","20.51021385192871","20.51021385192871","20.51021385192871","20.461999893188477","20.461999893188477","20.461999893188477","20.475391387939453","20.475391387939453","20.475391387939453","16.990829467773438","16.990829467773438","16.990829467773438","18.153167724609375","18.153167724609375","18.153167724609375","20.12673568725586","20.12673568725586","20.12673568725586","16.887500762939453","16.887500762939453","16.887500762939453","19.9901180267334","19.9901180267334","19.9901180267334","20.267805099487305","20.267805099487305","20.267805099487305","17.025978088378906","17.025978088378906","17.025978088378906","18.125234603881836","18.125234603881836","18.125234603881836","20.459136962890625","20.459136962890625","20.459136962890625","20.48554229736328","20.48554229736328","20.48554229736328","18.171600341796875","18.171600341796875","18.171600341796875","20.456022262573242","20.456022262573242","20.456022262573242","18.28244972229004","18.28244972229004","18.28244972229004","18.07994842529297","18.07994842529297","18.07994842529297","18.152507781982422","18.152507781982422","18.152507781982422"
"160","18.24015998840332","18.24015998840332","18.24015998840332","18.30040168762207","18.30040168762207","18.30040168762207","18.190807342529297","18.190807342529297","18.190807342529297","20.261621475219727","20.261621475219727","20.261621475219727","20.41066551208496","20.41066551208496","20.41066551208496","20.271785736083984","20.271785736083984","20.271785736083984","18.31103515625","18.31103515625","18.31103515625","18.249210357666016","18.249210357666016","18.249210357666016","18.20676612854004","18.20676612854004","18.20676612854004","17.09796142578125","17.09796142578125","17.09796142578125","16.972904205322266","16.972904205322266","16.972904205322266","17.019859313964844","17.019859313964844","17.019859313964844","20.396604537963867","20.396604537963867","20.396604537963867","20.512617111206055","20.512617111206055","20.512617111206055","20.48394012451172","20.48394012451172","20.48394012451172","17.015031814575195","17.015031814575195","17.015031814575195","18.222209930419922","18.222209930419922","18.222209930419922","20.336565017700195","20.336565017700195","20.336565017700195","17.06199073791504","17.06199073791504","17.06199073791504","20.131011962890625","20.131011962890625","20.131011962890625","20.27031135559082","20.27031135559082","20.27031135559082","16.98377799987793","16.98377799987793","16.98377799987793","18.273326873779297","18.273326873779297","18.273326873779297","20.456453323364258","20.456453323364258","20.456453323364258","20.368595123291016","20.368595123291016","20.368595123291016","18.175865173339844","18.175865173339844","18.175865173339844","20.498924255371094","20.498924255371094","20.498924255371094","18.243444442749023","18.243444442749023","18.243444442749023","18.343957901000977","18.343957901000977","18.343957901000977","18.396928787231445","18.396928787231445","18.396928787231445"
"240","17.88876724243164","17.88876724243164","17.88876724243164","18.259899139404297","18.259899139404297","18.259899139404297","18.271976470947266","18.271976470947266","18.271976470947266","20.324907302856445","20.324907302856445","20.324907302856445","20.45435905456543","20.45435905456543","20.45435905456543","20.306045532226562","20.306045532226562","20.306045532226562","18.401079177856445","18.401079177856445","18.401079177856445","18.3082275390625","18.3082275390625","18.3082275390625","18.205036163330078","18.205036163330078","18.205036163330078","16.933612823486328","16.933612823486328","16.933612823486328","17.01301383972168","17.01301383972168","17.01301383972168","17.007997512817383","17.007997512817383","17.007997512817383","20.19970703125","20.19970703125","20.19970703125","20.492368698120117","20.492368698120117","20.492368698120117","20.417001724243164","20.417001724243164","20.417001724243164","17.012311935424805","17.012311935424805","17.012311935424805","18.234617233276367","18.234617233276367","18.234617233276367","20.363849639892578","20.363849639892578","20.363849639892578","16.928184509277344","16.928184509277344","16.928184509277344","20.25452995300293","20.25452995300293","20.25452995300293","20.2841796875","20.2841796875","20.2841796875","17.008804321289062","17.008804321289062","17.008804321289062","18.29670524597168","18.29670524597168","18.29670524597168","20.38338851928711","20.38338851928711","20.38338851928711","20.20294761657715","20.20294761657715","20.20294761657715","18.163652420043945","18.163652420043945","18.163652420043945","20.48349952697754","20.48349952697754","20.48349952697754","18.305255889892578","18.305255889892578","18.305255889892578","18.001079559326172","18.001079559326172","18.001079559326172","18.277938842773438","18.277938842773438","18.277938842773438"
"320","18.001651763916016","18.001651763916016","18.001651763916016","18.327491760253906","18.327491760253906","18.327491760253906","18.249357223510742","18.249357223510742","18.249357223510742","20.540367126464844","20.540367126464844","20.540367126464844","20.45703125","20.45703125","20.45703125","20.286422729492188","20.286422729492188","20.286422729492188","18.439239501953125","18.439239501953125","18.439239501953125","18.420703887939453","18.420703887939453","18.420703887939453","18.192813873291016","18.192813873291016","18.192813873291016","17.075944900512695","17.075944900512695","17.075944900512695","17.054691314697266","17.054691314697266","17.054691314697266","16.960506439208984","16.960506439208984","16.960506439208984","20.41567611694336","20.41567611694336","20.41567611694336","20.465173721313477","20.465173721313477","20.465173721313477","20.508970260620117","20.508970260620117","20.508970260620117","16.955764770507812","16.955764770507812","16.955764770507812","18.317867279052734","18.317867279052734","18.317867279052734","20.344038009643555","20.344038009643555","20.344038009643555","16.98600959777832","16.98600959777832","16.98600959777832","20.41536521911621","20.41536521911621","20.41536521911621","20.279769897460938","20.279769897460938","20.279769897460938","17.006298065185547","17.006298065185547","17.006298065185547","18.321096420288086","18.321096420288086","18.321096420288086","20.47426414489746","20.47426414489746","20.47426414489746","20.388099670410156","20.388099670410156","20.388099670410156","18.1612548828125","18.1612548828125","18.1612548828125","20.457719802856445","20.457719802856445","20.457719802856445","18.274402618408203","18.274402618408203","18.274402618408203","18.00441551208496","18.00441551208496","18.00441551208496","18.32613754272461","18.32613754272461","18.32613754272461"
"400","18.08045196533203","18.08045196533203","18.08045196533203","18.151567459106445","18.151567459106445","18.151567459106445","18.243240356445312","18.243240356445312","18.243240356445312","20.693531036376953","20.693531036376953","20.693531036376953","20.422426223754883","20.422426223754883","20.422426223754883","20.349403381347656","20.349403381347656","20.349403381347656","18.289478302001953","18.289478302001953","18.289478302001953","18.451311111450195","18.451311111450195","18.451311111450195","18.3292236328125","18.3292236328125","18.3292236328125","16.9522647857666","16.9522647857666","16.9522647857666","17.14828872680664","17.14828872680664","17.14828872680664","17.010578155517578","17.010578155517578","17.010578155517578","20.44328498840332","20.44328498840332","20.44328498840332","20.50653076171875","20.50653076171875","20.50653076171875","20.437211990356445","20.437211990356445","20.437211990356445","16.98090934753418","16.98090934753418","16.98090934753418","18.295734405517578","18.295734405517578","18.295734405517578","20.29897689819336","20.29897689819336","20.29897689819336","16.87881851196289","16.87881851196289","16.87881851196289","20.590822219848633","20.590822219848633","20.590822219848633","20.312530517578125","20.312530517578125","20.312530517578125","17.11058235168457","17.11058235168457","17.11058235168457","18.1634578704834","18.1634578704834","18.1634578704834","20.344789505004883","20.344789505004883","20.344789505004883","20.38041114807129","20.38041114807129","20.38041114807129","18.252443313598633","18.252443313598633","18.252443313598633","20.514373779296875","20.514373779296875","20.514373779296875","18.291181564331055","18.291181564331055","18.291181564331055","18.084453582763672","18.084453582763672","18.084453582763672","18.20004653930664","18.20004653930664","18.20004653930664"
"480","18.13585662841797","18.13585662841797","18.13585662841797","18.115259170532227","18.115259170532227","18.115259170532227","18.20185661315918","18.20185661315918","18.20185661315918","20.56560707092285","20.56560707092285","20.56560707092285","20.487384796142578","20.487384796142578","20.487384796142578","20.278278350830078","20.278278350830078","20.278278350830078","18.552932739257812","18.552932739257812","18.552932739257812","18.45070457458496","18.45070457458496","18.45070457458496","18.31049156188965","18.31049156188965","18.31049156188965","17.008026123046875","17.008026123046875","17.008026123046875","17.123031616210938","17.123031616210938","17.123031616210938","17.01579475402832","17.01579475402832","17.01579475402832","20.558609008789062","20.558609008789062","20.558609008789062","20.50370216369629","20.50370216369629","20.50370216369629","20.603120803833008","20.603120803833008","20.603120803833008","17.009248733520508","17.009248733520508","17.009248733520508","18.311330795288086","18.311330795288086","18.311330795288086","20.418289184570312","20.418289184570312","20.418289184570312","16.868793487548828","16.868793487548828","16.868793487548828","20.444290161132812","20.444290161132812","20.444290161132812","20.274799346923828","20.274799346923828","20.274799346923828","17.05165672302246","17.05165672302246","17.05165672302246","18.38829231262207","18.38829231262207","18.38829231262207","20.51718521118164","20.51718521118164","20.51718521118164","20.4825496673584","20.4825496673584","20.4825496673584","18.23857307434082","18.23857307434082","18.23857307434082","20.48645782470703","20.48645782470703","20.48645782470703","18.26966667175293","18.26966667175293","18.26966667175293","18.21196937561035","18.21196937561035","18.21196937561035","18.22093963623047","18.22093963623047","18.22093963623047"
"560","17.955923080444336","17.955923080444336","17.955923080444336","18.18036460876465","18.18036460876465","18.18036460876465","18.18086814880371","18.18086814880371","18.18086814880371","20.490272521972656","20.490272521972656","20.490272521972656","20.488800048828125","20.488800048828125","20.488800048828125","20.384033203125","20.384033203125","20.384033203125","18.607017517089844","18.607017517089844","18.607017517089844","18.47075843811035","18.47075843811035","18.47075843811035","18.270275115966797","18.270275115966797","18.270275115966797","17.199296951293945","17.199296951293945","17.199296951293945","17.194881439208984","17.194881439208984","17.194881439208984","17.045822143554688","17.045822143554688","17.045822143554688","20.644996643066406","20.644996643066406","20.644996643066406","20.565336227416992","20.565336227416992","20.565336227416992","20.47786521911621","20.47786521911621","20.47786521911621","17.005155563354492","17.005155563354492","17.005155563354492","18.31822967529297","18.31822967529297","18.31822967529297","20.37465476989746","20.37465476989746","20.37465476989746","17.04977035522461","17.04977035522461","17.04977035522461","20.41405487060547","20.41405487060547","20.41405487060547","20.36713218688965","20.36713218688965","20.36713218688965","17.080354690551758","17.080354690551758","17.080354690551758","18.452552795410156","18.452552795410156","18.452552795410156","20.402877807617188","20.402877807617188","20.402877807617188","20.536540985107422","20.536540985107422","20.536540985107422","18.182716369628906","18.182716369628906","18.182716369628906","20.526002883911133","20.526002883911133","20.526002883911133","18.246234893798828","18.246234893798828","18.246234893798828","17.981414794921875","17.981414794921875","17.981414794921875","18.253631591796875","18.253631591796875","18.253631591796875"
"640","18.093067169189453","18.093067169189453","18.093067169189453","18.230741500854492","18.230741500854492","18.230741500854492","18.186019897460938","18.186019897460938","18.186019897460938","20.57145881652832","20.57145881652832","20.57145881652832","20.519039154052734","20.519039154052734","20.519039154052734","20.385068893432617","20.385068893432617","20.385068893432617","18.568466186523438","18.568466186523438","18.568466186523438","18.52521324157715","18.52521324157715","18.52521324157715","18.343952178955078","18.343952178955078","18.343952178955078","17.07814598083496","17.07814598083496","17.07814598083496","17.069067001342773","17.069067001342773","17.069067001342773","17.09084701538086","17.09084701538086","17.09084701538086","20.600553512573242","20.600553512573242","20.600553512573242","20.55258560180664","20.55258560180664","20.55258560180664","20.521987915039062","20.521987915039062","20.521987915039062","17.04730987548828","17.04730987548828","17.04730987548828","18.380578994750977","18.380578994750977","18.380578994750977","20.409648895263672","20.409648895263672","20.409648895263672","16.987079620361328","16.987079620361328","16.987079620361328","20.445146560668945","20.445146560668945","20.445146560668945","20.3311767578125","20.3311767578125","20.3311767578125","16.97138023376465","16.97138023376465","16.97138023376465","18.417327880859375","18.417327880859375","18.417327880859375","20.473230361938477","20.473230361938477","20.473230361938477","20.55952262878418","20.55952262878418","20.55952262878418","18.249290466308594","18.249290466308594","18.249290466308594","20.515155792236328","20.515155792236328","20.515155792236328","18.234100341796875","18.234100341796875","18.234100341796875","17.95183563232422","17.95183563232422","17.95183563232422","18.285694122314453","18.285694122314453","18.285694122314453"
"720","18.046579360961914","18.046579360961914","18.046579360961914","18.080936431884766","18.080936431884766","18.080936431884766","18.24108123779297","18.24108123779297","18.24108123779297","20.5743408203125","20.5743408203125","20.5743408203125","20.47874641418457","20.47874641418457","20.47874641418457","20.388046264648438","20.388046264648438","20.388046264648438","18.442516326904297","18.442516326904297","18.442516326904297","18.488466262817383","18.488466262817383","18.488466262817383","18.35687255859375","18.35687255859375","18.35687255859375","17.10150146484375","17.10150146484375","17.10150146484375","17.181819915771484","17.181819915771484","17.181819915771484","17.041669845581055","17.041669845581055","17.041669845581055","20.45465087890625","20.45465087890625","20.45465087890625","20.514982223510742","20.514982223510742","20.514982223510742","20.620098114013672","20.620098114013672","20.620098114013672","17.01213264465332","17.01213264465332","17.01213264465332","18.30674171447754","18.30674171447754","18.30674171447754","20.3642635345459","20.3642635345459","20.3642635345459","17.021930694580078","17.021930694580078","17.021930694580078","20.46818733215332","20.46818733215332","20.46818733215332","20.332250595092773","20.332250595092773","20.332250595092773","17.072782516479492","17.072782516479492","17.072782516479492","18.24639892578125","18.24639892578125","18.24639892578125","20.54616928100586","20.54616928100586","20.54616928100586","20.39043426513672","20.39043426513672","20.39043426513672","18.25615692138672","18.25615692138672","18.25615692138672","20.483922958374023","20.483922958374023","20.483922958374023","18.29084587097168","18.29084587097168","18.29084587097168","18.0311279296875","18.0311279296875","18.0311279296875","18.194128036499023","18.194128036499023","18.194128036499023"
"800","18.024065017700195","18.024065017700195","18.024065017700195","18.14423370361328","18.14423370361328","18.14423370361328","18.219942092895508","18.219942092895508","18.219942092895508","20.573923110961914","20.573923110961914","20.573923110961914","20.533432006835938","20.533432006835938","20.533432006835938","20.35533332824707","20.35533332824707","20.35533332824707","18.397266387939453","18.397266387939453","18.397266387939453","18.41380500793457","18.41380500793457","18.41380500793457","18.334516525268555","18.334516525268555","18.334516525268555","17.23369598388672","17.23369598388672","17.23369598388672","17.186805725097656","17.186805725097656","17.186805725097656","17.059694290161133","17.059694290161133","17.059694290161133","20.424488067626953","20.424488067626953","20.424488067626953","20.546186447143555","20.546186447143555","20.546186447143555","20.552244186401367","20.552244186401367","20.552244186401367","17.00769805908203","17.00769805908203","17.00769805908203","18.27682113647461","18.27682113647461","18.27682113647461","20.48781967163086","20.48781967163086","20.48781967163086","17.08765983581543","17.08765983581543","17.08765983581543","20.451236724853516","20.451236724853516","20.451236724853516","20.300334930419922","20.300334930419922","20.300334930419922","17.04833984375","17.04833984375","17.04833984375","18.261598587036133","18.261598587036133","18.261598587036133","20.4952392578125","20.4952392578125","20.4952392578125","20.3897705078125","20.3897705078125","20.3897705078125","18.231624603271484","18.231624603271484","18.231624603271484","20.49164581298828","20.49164581298828","20.49164581298828","18.274513244628906","18.274513244628906","18.274513244628906","17.954334259033203","17.954334259033203","17.954334259033203","18.18170738220215","18.18170738220215","18.18170738220215"
